username,date_of_election,isSuccessful,votes,edit_count,year_joined
BDD,2013-04-19 23:13:00,1,0,79201,2004
Bilby,2013-05-25 00:37:00,1,0,26666,2006
Darkwind,2012-12-26 20:12:00,1,0,38832,2003
