@relation ../Data/18_edits_alt

@attribute revert_edits numeric
@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute featured_lists numeric
@attribute draft_edits numeric
@attribute featured_articles numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute hasCategoryActivity {1, 0}
@attribute minor_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute hasFeaturedContent {1, 0}
@attribute merge_votes numeric
@attribute hasMultipleAccounts {1, 0}
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute nonminor_edits numeric
@attribute elections numeric
@attribute delete_votes numeric
@attribute images_uploaded numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric
@attribute large_edits numeric


@data
298 , 17 , 144 , 0 , 1 , 0 , 0 , 0 , 0 , 285 , 1 , 6511 , 0 , 669 , 0 , 122 , 6232 , 1 , 19 , 0 , 391 , 0 , 0 , 1 , 1 , 503 , 1 , 5 , 43 , 8 , 0 , 20356 , 1 , 11 , 0 , 154 , 20 , 0 , 7255 , 2982
3 , 0 , 19 , 0 , 0 , 0 , 0 , 0 , 1 , 6 , 1 , 14 , 0 , 235 , 2 , 6 , 80 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 1 , 19 , 0 , 0 , 1 , 7 , 0 , 292 , 1 , 0 , 3 , 0 , 38 , 0 , 149 , 41
0 , 0 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0
190 , 1 , 75 , 0 , 0 , 0 , 1 , 0 , 0 , 1337 , 1 , 2723 , 0 , 2838 , 8 , 187 , 1547 , 0 , 12 , 0 , 245 , 0 , 0 , 2 , 1 , 193 , 0 , 2 , 5 , 37 , 0 , 5658 , 1 , 8 , 12 , 42 , 184 , 22 , 3615 , 2323
13038 , 12 , 85 , 0 , 1 , 4 , 0 , 0 , 2 , 6055 , 1 , 17411 , 0 , 2056 , 105 , 3316 , 16643 , 4 , 193 , 0 , 1263 , 4 , 1 , 4 , 1 , 1156 , 0 , 62 , 5 , 138 , 0 , 74260 , 1 , 122 , 164 , 242 , 546 , 159 , 28478 , 21790
54 , 80 , 41 , 0 , 4 , 0 , 0 , 0 , 0 , 327 , 0 , 3094 , 0 , 1502 , 115 , 273 , 5544 , 10 , 178 , 0 , 1100 , 1 , 0 , 4 , 1 , 1354 , 0 , 62 , 0 , 3 , 1 , 35408 , 1 , 97 , 336 , 89 , 258 , 0 , 7710 , 5940
0 , 17 , 31 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 89 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0
1206 , 8 , 30 , 0 , 0 , 0 , 0 , 0 , 0 , 504 , 1 , 3834 , 1 , 1389 , 15 , 138 , 7314 , 15 , 176 , 0 , 178 , 3 , 0 , 15 , 1 , 281 , 0 , 31 , 9 , 402 , 1 , 50714 , 1 , 113 , 14 , 148 , 0 , 123 , 8834 , 4762
130 , 3 , 688 , 0 , 0 , 3 , 0 , 9 , 0 , 797 , 0 , 2169 , 0 , 1779 , 24 , 186 , 668 , 0 , 7 , 0 , 763 , 2 , 1 , 0 , 1 , 93 , 0 , 2 , 0 , 176 , 0 , 9036 , 2 , 5 , 83 , 185 , 452 , 10 , 3263 , 1854
1278 , 30 , 695 , 0 , 0 , 0 , 0 , 0 , 0 , 2716 , 1 , 4507 , 0 , 1764 , 1 , 831 , 2322 , 0 , 89 , 0 , 990 , 0 , 0 , 7 , 1 , 80 , 0 , 7 , 23 , 14 , 2 , 7743 , 1 , 73 , 0 , 138 , 391 , 9 , 7435 , 2132
22 , 7 , 15 , 0 , 0 , 0 , 0 , 0 , 2618 , 511 , 1 , 457 , 0 , 51 , 0 , 8900 , 487 , 0 , 18 , 0 , 1316 , 181 , 0 , 1 , 1 , 12 , 0 , 2 , 8 , 48 , 0 , 2325 , 1 , 15 , 0 , 354 , 25 , 355 , 14803 , 426
504 , 31 , 77 , 0 , 0 , 26 , 0 , 0 , 35 , 5009 , 1 , 22686 , 1 , 3302 , 219 , 9048 , 27794 , 0 , 189 , 0 , 3262 , 11 , 1 , 9 , 1 , 9828 , 0 , 10 , 519 , 514 , 1 , 122843 , 2 , 168 , 70 , 1711 , 1496 , 700 , 50318 , 27933
71 , 0 , 124 , 0 , 0 , 0 , 0 , 0 , 9 , 860 , 1 , 2264 , 0 , 2236 , 84 , 2601 , 10744 , 0 , 12 , 0 , 3593 , 40 , 0 , 0 , 1 , 137 , 0 , 12 , 31 , 166 , 0 , 39970 , 1 , 0 , 5 , 74 , 1253 , 24 , 19479 , 8439
308 , 0 , 11 , 0 , 2 , 0 , 0 , 0 , 5 , 864 , 1 , 2676 , 2 , 797 , 14 , 50 , 1564 , 3 , 109 , 0 , 130 , 7 , 0 , 5 , 1 , 129 , 0 , 23 , 1 , 33 , 2 , 5810 , 1 , 72 , 37 , 24 , 62 , 0 , 2754 , 2460
823 , 4 , 290 , 0 , 0 , 0 , 0 , 0 , 5 , 399 , 1 , 7553 , 0 , 717 , 0 , 48 , 1316 , 0 , 2 , 0 , 669 , 0 , 0 , 0 , 1 , 309 , 0 , 0 , 11 , 42 , 0 , 15008 , 2 , 2 , 10 , 67 , 236 , 1 , 2794 , 6283
19 , 0 , 59 , 0 , 0 , 0 , 0 , 0 , 0 , 20 , 0 , 40 , 0 , 191 , 0 , 41 , 150 , 0 , 5 , 0 , 27 , 0 , 0 , 0 , 1 , 6 , 0 , 1 , 0 , 1 , 0 , 211 , 1 , 4 , 0 , 1 , 33 , 0 , 273 , 37
1 , 18 , 688 , 0 , 0 , 0 , 0 , 0 , 0 , 1335 , 0 , 2775 , 0 , 805 , 11 , 137 , 1630 , 1 , 101 , 0 , 403 , 0 , 0 , 9 , 1 , 23 , 0 , 13 , 0 , 14 , 0 , 93 , 1 , 78 , 5 , 40 , 246 , 3 , 3819 , 18
1003 , 2 , 29 , 0 , 0 , 0 , 0 , 0 , 2 , 1355 , 1 , 2314 , 3 , 1417 , 10 , 947 , 5992 , 9 , 159 , 0 , 821 , 19 , 0 , 16 , 1 , 444 , 1 , 33 , 18 , 305 , 0 , 11419 , 1 , 98 , 6 , 481 , 244 , 66 , 10260 , 3221
6489 , 4 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 2403 , 1 , 5441 , 0 , 1266 , 1 , 1738 , 12167 , 0 , 43 , 0 , 2984 , 0 , 0 , 0 , 1 , 6 , 1 , 3 , 2 , 5 , 0 , 25188 , 1 , 40 , 0 , 140 , 70 , 38 , 19548 , 4878
4598 , 6 , 22 , 0 , 1 , 0 , 0 , 0 , 1 , 6131 , 1 , 8149 , 0 , 1677 , 10 , 2031 , 9748 , 1 , 38 , 0 , 1365 , 0 , 0 , 1 , 1 , 23 , 1 , 8 , 5 , 62 , 0 , 10518 , 1 , 27 , 4 , 163 , 725 , 25 , 20266 , 2930
427 , 6 , 48 , 3 , 2 , 1 , 4 , 6 , 184 , 4175 , 1 , 39572 , 0 , 2750 , 86 , 104667 , 86157 , 2 , 188 , 0 , 1901 , 6 , 1 , 5 , 1 , 60 , 1 , 14 , 31 , 48 , 1 , 162688 , 1 , 164 , 0 , 217 , 2181 , 35 , 199695 , 4552
241 , 1 , 63 , 0 , 0 , 0 , 0 , 0 , 1 , 2460 , 1 , 2549 , 0 , 2495 , 188 , 1396 , 6059 , 0 , 25 , 0 , 2789 , 0 , 0 , 0 , 1 , 760 , 1 , 9 , 20 , 2709 , 0 , 32282 , 1 , 16 , 181 , 248 , 548 , 482 , 16900 , 7236
852 , 0 , 3 , 0 , 5 , 0 , 0 , 0 , 15 , 3596 , 1 , 5219 , 0 , 1832 , 61 , 822 , 8393 , 8 , 156 , 0 , 1254 , 10 , 0 , 9 , 1 , 291 , 1 , 30 , 39 , 225 , 9 , 7192 , 1 , 95 , 10 , 130 , 112 , 89 , 14746 , 3187
407 , 2 , 38 , 0 , 0 , 0 , 0 , 0 , 2 , 628 , 1 , 739 , 0 , 1639 , 0 , 449 , 608 , 8 , 116 , 0 , 289 , 2 , 0 , 7 , 1 , 79 , 1 , 41 , 5 , 24 , 4 , 5651 , 1 , 56 , 0 , 76 , 59 , 2 , 2144 , 2068
81 , 0 , 43 , 0 , 1 , 0 , 0 , 0 , 9 , 537 , 1 , 6497 , 0 , 1994 , 340 , 1400 , 59937 , 1 , 40 , 0 , 132 , 0 , 0 , 1 , 1 , 926 , 1 , 36 , 1893 , 230 , 0 , 96116 , 1 , 1 , 158 , 51 , 3957 , 39 , 68525 , 3191
771 , 1 , 77 , 0 , 0 , 0 , 0 , 0 , 76 , 708 , 1 , 19155 , 0 , 2065 , 16 , 373 , 4683 , 7 , 121 , 2 , 327 , 0 , 0 , 10 , 1 , 1235 , 1 , 36 , 479 , 57 , 1 , 18012 , 1 , 65 , 14 , 49 , 88 , 15 , 6871 , 3423
1813 , 0 , 54 , 0 , 0 , 0 , 0 , 0 , 23 , 480 , 1 , 20572 , 0 , 2161 , 0 , 300 , 3156 , 5 , 193 , 0 , 645 , 0 , 0 , 4 , 1 , 5493 , 1 , 32 , 17 , 142 , 0 , 45334 , 2 , 152 , 1 , 235 , 37 , 43 , 5078 , 7542
265 , 2 , 41 , 0 , 0 , 2 , 0 , 22 , 32 , 582 , 1 , 4557 , 0 , 2531 , 23 , 4605 , 8496 , 1 , 48 , 0 , 1097 , 7 , 1 , 3 , 1 , 513 , 1 , 13 , 93 , 427 , 0 , 14782 , 1 , 31 , 16 , 379 , 1978 , 412 , 18131 , 3470
164 , 7 , 42 , 0 , 0 , 1 , 0 , 0 , 0 , 489 , 1 , 2576 , 0 , 954 , 0 , 164 , 999 , 0 , 19 , 0 , 825 , 0 , 1 , 0 , 1 , 20 , 1 , 1 , 2 , 42 , 0 , 5488 , 2 , 18 , 0 , 69 , 106 , 4 , 2700 , 2904
1236 , 20 , 50 , 0 , 0 , 0 , 0 , 0 , 27 , 1263 , 1 , 11143 , 0 , 774 , 34 , 2074 , 12659 , 6 , 11 , 0 , 1236 , 7 , 0 , 0 , 1 , 934 , 1 , 4 , 90 , 2080 , 0 , 27179 , 1 , 1 , 12 , 174 , 59 , 61 , 19764 , 3511
