username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
Penyulap,2012-07-24 17:28:00,0,0,8256,2011,88
PerryThePlatypusFan,2012-08-10 22:11:00,0,0,966,2010,2
Pol430,2012-03-04 21:46:00,0,0,0,2013,0
PumpkinSky,2012-10-22 22:47:00,0,0,20535,2011,66
Purplebackpack89,2012-03-15 00:30:00,0,0,22368,2008,539
QuiteUnusual,2012-10-17 12:20:00,0,0,26648,2006,56
Raghusri,2012-10-24 13:39:00,0,0,16515,2012,2
Rcsprinter123,2012-08-31 10:57:00,0,0,60251,2010,559
ronjohn,2012-03-27 03:47:00,0,0,1025,2007,24
Ryan Vesey,2012-06-30 08:54:00,0,0,25912,2011,104
Sk8terguy27,2012-12-22 20:34:00,0,0,875,2012,5
SpeakFree,2012-01-01 04:49:00,0,0,6,2012,0
Sven Manguard,2012-01-05 12:22:00,0,0,46501,2010,117
Swinquest,2012-04-19 14:38:00,0,0,2577,2006,21
SwisterTwister,2012-06-25 22:03:00,0,0,72677,2008,142
The Determinator,2012-06-15 18:30:00,0,0,2893,2011,19
TheAustinMan,2012-03-05 07:30:00,0,0,6941,2009,14
Theopolisme,2012-08-11 07:36:00,0,0,32587,2011,198
TucsonDavid,2012-03-12 08:06:00,0,0,2338,2010,6
Vibhijain,2012-05-19 10:14:00,0,0,16386,2011,112
WinEuro,2012-07-01 04:09:00,0,0,110,2012,0
XyphynX9,2012-11-19 16:37:00,0,0,392,2012,6
28bytes,2011-06-07 14:35:00,1,0,27180,2006,162
5 albert square,2011-01-31 08:28:00,1,0,52420,2008,18
Acdixon,2011-01-26 18:34:00,1,0,22972,2006,214
Anomie,2011-09-24 12:04:00,1,0,25102,2005,22
Bahamut0013,2011-04-10 05:06:00,1,0,21234,2007,197
Boing! said Zebedee,2011-02-22 19:40:00,1,0,60194,2007,37
Catfish Jim and the soapdish,2011-04-27 12:26:00,1,0,20875,2007,139
CharlieEchoTango,2011-11-23 06:37:00,1,0,14035,2010,79
DeltaQuad,2011-05-12 02:28:00,1,0,27515,2007,87
Drmies,2011-05-20 04:31:00,1,0,189708,2007,807
ErikHaugen,2011-02-03 02:19:00,1,0,15040,2005,92
ErrantX,2011-02-11 13:02:00,1,0,21424,2006,65
Fæ,2011-03-14 22:13:00,1,0,78619,2010,106
Feezo,2011-03-19 11:13:00,1,0,12964,2004,64
Fluffernutter,2011-08-12 16:06:00,1,0,40141,2008,58
GB fan,2011-09-12 01:05:00,1,0,62118,2008,124
Gfoley4,2011-03-05 22:43:00,1,0,36509,2010,177
Gimme danger,2011-01-08 11:41:00,1,0,1,2011,0
Gonzonoir,2011-01-26 13:42:00,1,0,13723,2008,235
Guerillero,2011-11-23 23:14:00,1,0,16384,2009,41
HJ Mitchell,2011-05-02 18:54:00,1,0,77114,2009,338
Ironholds,2011-01-01 23:02:00,1,0,79389,2008,856
JaGa,2011-03-09 05:31:00,1,0,97549,2006,950
January,2011-05-29 12:03:00,1,0,30219,2009,106
Jimp,2011-06-08 00:25:00,1,0,63475,2005,108
Ks0stm,2011-09-06 23:09:00,1,0,13822,2007,72
Kudpung,2011-02-23 10:02:00,1,0,72988,2006,131
Lear's Fool,2010-12-30 00:04:00,1,0,10099,2006,36
MichaelQSchmidt,2011-11-27 06:22:00,1,0,56672,2008,106
Peridon,2011-03-06 19:43:00,1,0,40424,2008,20
Ponyo,2011-01-26 16:31:00,1,0,74284,2007,19
Qwyrxian,2011-07-19 00:21:00,1,0,57186,2006,23
Rami R,2011-02-07 11:50:00,1,0,5732,2006,21
Reaper Eternal,2011-07-21 13:09:00,1,0,58469,2009,67
Redrose64,2011-10-07 13:38:00,1,0,136718,2009,375
RHM22,2011-04-12 17:17:00,1,0,8173,2010,26
Richwales,2011-09-17 20:05:00,1,0,15175,2005,37
Sadads,2011-05-13 17:40:00,1,0,93585,2005,622
Salvio giuliano,2011-03-26 11:57:00,1,0,38172,2009,7
SarekOfVulcan,2011-05-02 21:19:00,1,0,43896,2004,236
Slon02,2011-12-13 03:43:00,1,0,22045,2009,89
Smartse,2011-01-25 16:04:00,1,0,31703,2006,294
Swarm,2011-10-12 01:34:00,1,0,16337,2008,43
The Blade of the Northern Lights,2011-11-28 18:46:00,1,0,37793,2010,138
The Bushranger,2011-02-15 17:36:00,1,0,132302,2008,987
Tom Morris,2011-11-25 21:20:00,1,0,64447,2006,81
TParis,2011-06-09 19:11:00,1,0,26914,2008,21
Tyrol5,2011-07-15 15:13:00,1,0,25957,2008,211
Valfontis,2011-03-18 20:48:00,1,0,77725,2006,2261
Worm That Turned,2011-06-29 10:10:00,1,0,18279,2008,27
A520,2011-12-24 14:21:00,0,0,3728,2010,2
A930913,2011-01-09 12:30:00,0,0,10646,2010,0
Ancient Apparition,2011-05-15 04:41:00,0,0,0,2011,0
Andrew J Powers,2011-05-01 20:10:00,0,0,3,2012,0
Ankitbhatt,2011-10-18 20:08:00,0,0,10659,2009,34
Ankitkool1988,2011-03-06 20:28:00,0,0,18,2009,1
Ant682,2011-04-23 17:25:00,0,0,115,2011,0
Armbrust,2011-05-12 17:31:00,0,0,254226,2008,1163
AwesomeSponge,2011-12-11 03:20:00,0,0,45,2011,0
Breawycker,2011-02-19 23:47:00,0,0,6612,2007,3
Buggie111,2011-12-23 21:38:00,0,0,10311,2009,46
BuickCenturyDriver,2011-04-13 10:41:00,0,0,11286,2007,146
BusterD,2011-12-23 04:44:00,0,0,28213,2005,180
Calabe1992,2011-10-27 16:19:00,0,0,28921,2011,6
Cjc811,2011-04-13 16:38:00,0,0,172,2007,2
Coolguy22468,2011-10-09 17:55:00,0,0,4375,2006,70
Core2012,2011-01-29 07:06:00,0,0,293,2009,0
Cprice1000,2011-01-01 20:08:00,0,0,3122,2010,8
Ctjf83,2011-01-15 03:58:00,0,0,1,2012,0
