username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
Thegoodlocust,2010-01-03 01:11:00,0,0,0,2014,0
Tommy2010,2010-10-10 04:39:00,0,0,68130,2010,39
Torchwoodwho,2010-09-16 16:37:00,0,0,5126,2007,41
TransporterMan,2010-09-29 19:26:00,0,0,18697,2007,9
Triona,2010-09-07 19:10:00,0,0,8009,2004,53
Unionhawk,2010-05-11 03:41:00,0,0,9889,2006,43
Venomcuz,2010-01-30 05:58:00,0,0,39,2010,0
White Shadows,2010-07-07 01:52:00,0,0,19543,2009,96
Wiki Greek Basketball,2010-01-02 07:17:00,0,0,35531,2008,295
WikiCopter,2010-09-13 03:23:00,0,0,4001,2010,3
Wikiwoohoo,2010-02-19 08:54:00,0,0,0,2010,0
Wilhelmina Will,2010-05-29 22:40:00,0,0,207356,2007,1
William S. Saturn,2010-08-27 17:19:00,0,0,12161,2008,53
YOSF0113,2010-09-15 08:16:00,0,0,967,2010,19
Youndbuckerz,2010-06-14 00:56:00,0,0,7648,2009,99
Yuvmil,2010-03-20 22:39:00,0,0,65,2008,0
ZooPro,2010-02-22 18:44:00,0,0,5491,2009,10
2over0,2009-11-19 19:03:00,1,0,17247,2005,200
Abecedare,2009-09-24 19:58:00,1,0,25254,2006,78
AdjustShift,2009-04-04 20:18:00,1,0,15507,2008,102
Admiral Norton,2009-02-28 17:43:00,1,0,12535,2007,276
AlexiusHoratius,2009-03-31 20:38:00,1,0,54546,2006,10
Amalthea,2009-02-14 12:01:00,1,0,31667,2005,63
Amorymeltzer,2009-11-08 22:32:00,1,0,21221,2005,101
Arbitrarily0,2009-11-10 03:11:00,1,0,18867,2008,275
Atama,2009-11-13 23:07:00,1,0,17280,2006,3
Backslash Forwardslash,2009-05-28 12:39:00,1,0,20602,2008,65
Beeblebrox,2009-08-23 19:09:00,1,0,73837,2007,212
Bellhalla,2009-11-02 17:16:00,1,0,80350,2004,9664
Billinghurst,2009-05-28 13:34:00,1,0,25801,2007,91
Bob the Wikipedian,2009-09-19 02:45:00,1,0,18094,2006,499
BOZ,2009-04-06 12:44:00,1,0,40664,2006,1214
CactusWriter,2009-05-24 06:56:00,1,0,25208,2008,205
Camw,2009-03-04 15:48:00,1,0,26900,2005,54
Chamal N,2009-08-18 11:33:00,1,0,18695,2008,172
Ched Davis,2009-06-11 23:17:00,1,0,1,2012,0
Climie.ca,2009-01-04 18:09:00,1,0,9536,2007,25
Closedmouth,2009-04-08 07:47:00,1,0,144735,2005,301
Cobi,2009-08-03 03:36:00,1,0,5804,2006,77
Colds7ream,2009-06-02 20:57:00,1,0,0,2011,0
Cool3,2009-06-20 16:19:00,1,0,7243,2005,125
CRGreathouse,2009-01-09 21:05:00,1,0,11336,2006,26
Davemeistermoab,2009-07-04 04:42:00,1,0,2,2010,0
decltype,2009-06-24 12:19:00,1,0,19677,2005,167
Dinoguy1000,2009-05-02 15:43:00,1,0,18089,2006,153
Drilnoth,2009-04-06 13:10:00,1,0,51191,2008,64
Dumelow,2009-10-25 14:58:00,1,0,18002,2006,138
Enigmaman,2009-06-08 15:06:00,1,0,35551,2007,111
Explicit,2009-10-26 16:09:00,1,0,76370,2007,157
Fastily,2009-07-04 01:17:00,1,0,53648,2008,269
Fences and windows,2009-11-16 20:28:00,1,0,39429,2006,101
FlyingToaster,2009-05-11 15:59:00,1,0,20019,2006,257
Franamax,2009-11-03 04:31:00,1,0,18113,2007,15
Fribbler,2009-08-06 18:00:00,1,0,4828,2007,25
Fribbulus Xax,2009-11-07 17:05:00,1,0,0,2009,0
Ged UK,2009-03-14 14:55:00,1,0,34630,2005,49
Geni,2009-01-15 00:39:00,1,0,30209,2004,181
Graeme Bartlett,2009-04-25 22:49:00,1,0,73010,2004,1416
Hawkeye7,2009-11-09 21:42:00,1,0,60792,2005,37
Jafeluv,2009-09-01 16:01:00,1,0,34331,2008,377
Jake Wartenberg,2009-08-17 01:25:00,1,0,18879,2005,33
JamieS93,2009-05-05 18:14:00,1,0,17561,2007,139
Jarry1250,2009-06-17 15:50:00,1,0,23564,2006,125
JohnCD,2009-11-09 19:44:00,1,0,122021,2006,52
Kanonkas,2009-01-10 21:14:00,1,0,9762,2007,8
Kateshortforbob,2009-07-10 15:01:00,1,0,14648,2006,48
Killervogel5,2009-12-01 18:02:00,1,0,29209,2005,134
Killiondude,2009-08-02 08:03:00,1,0,20701,2008,53
Kotra,2009-05-10 20:53:00,1,0,8930,2005,106
Laser brain,2009-05-04 02:24:00,1,0,13224,2008,14
Law,2009-04-09 10:51:00,1,0,7280,2008,20
LinguistAtLarge,2009-03-20 21:35:00,1,0,10282,2005,291
Maedin,2009-08-21 11:13:00,1,0,1,2011,0
Malik Shabazz,2009-10-22 23:11:00,1,0,91175,2006,220
Materialscientist,2009-10-18 07:12:00,1,0,638176,2008,254
Maunus,2009-08-11 04:32:00,1,0,51887,2005,200
Mazca,2009-06-11 16:58:00,1,0,10122,2006,33
Mentifisto,2009-03-20 19:12:00,1,0,43958,2006,16
Mfield,2009-02-20 18:17:00,1,0,11557,2006,9
Mifter,2009-05-30 22:56:00,1,0,22119,2008,19
Mikaey,2009-07-01 06:33:00,1,0,12553,2007,19
Mjroots,2009-09-19 22:51:00,1,0,171211,2005,3111
Mlaffs,2009-06-24 21:23:00,1,0,216454,2007,3514
MLauba,2009-10-10 11:58:00,1,0,10732,2009,14
MrKIA11,2009-12-03 00:31:00,1,0,33613,2007,110
Msgj,2009-02-17 20:18:00,1,0,1008,2009,0
Mufka,2009-03-01 17:36:00,1,0,68389,2006,72
MuZemike,2009-09-07 19:09:00,1,0,70049,2008,71
MZMcBride,2009-08-27 18:43:00,1,0,178583,2005,779
Nja247,2009-02-07 18:16:00,1,0,0,2009,0
NuclearWarfare,2009-08-19 16:13:00,1,0,82955,2007,237
OlEnglish,2009-09-19 04:00:00,1,0,68187,2008,482
Orlady,2009-04-08 15:41:00,1,0,94008,2004,603
OverlordQ,2009-03-13 13:13:00,1,0,22400,2004,5
Pastor Theo,2009-07-02 02:34:00,1,0,5650,2009,89
Patar knight,2009-06-21 02:25:00,1,0,11269,2006,177
Paxse,2009-03-29 12:36:00,1,0,18135,2005,251
PeterSymonds,2009-01-15 23:15:00,1,0,29055,2005,340
Plastikspork,2009-06-18 21:27:00,1,0,161982,2007,139
R'n'B,2009-01-16 22:50:00,1,0,318393,2006,760
Rambo's Revenge,2009-05-04 12:58:00,1,0,12250,2007,354
RegentsPark,2009-01-26 21:24:00,1,0,22042,2007,61
Rjanag,2009-04-28 13:53:00,1,0,58736,2008,202
RL0919,2009-12-19 01:47:00,1,0,25089,2005,20
Ronhjones,2009-11-19 23:27:00,1,0,146727,2008,30
Rosiestep,2009-05-05 01:51:00,1,0,104337,2007,2038
Runningonbrains,2009-05-09 22:46:00,1,0,19972,2006,146
S@bre,2009-02-11 20:47:00,1,0,18581,2005,163
Shubinator,2009-12-23 18:48:00,1,0,14725,2009,19
Skomorokh,2009-07-07 14:06:00,1,0,59989,2006,1084
Sky Harbor,2009-08-21 06:09:00,1,0,13574,2005,258
Smith609,2009-03-21 18:50:00,1,0,35663,2006,751
Someguy1221,2009-03-20 19:15:00,1,0,36811,2007,63
Somno,2009-01-31 11:04:00,1,0,8231,2007,59
SpacemanSpiff,2009-12-03 17:55:00,1,0,37296,2009,216
Spinningspark,2009-04-08 14:32:00,1,0,54437,2007,138
Steve,2009-08-04 08:50:00,1,0,17695,2007,72
Tcncv,2009-10-06 03:04:00,1,0,17638,2008,47
Tedder,2009-07-15 00:19:00,1,0,57078,2005,165
ThaddeusB,2009-07-22 17:02:00,1,0,37751,2008,94
The Earwig,2009-10-11 02:33:00,1,0,18190,2008,384
The ed17,2009-09-19 01:59:00,1,0,53355,2006,232
TheDJ,2009-04-18 21:24:00,1,0,36668,2005,90
Tinucherian,2009-10-14 10:15:00,1,0,54133,2006,2344
Tnxman307,2009-03-10 16:04:00,1,0,64361,2007,78
Toon05,2009-04-02 13:56:00,1,0,11892,2006,77
Ucucha,2009-12-08 04:14:00,1,0,37813,2005,522
Valley2city,2009-02-27 06:22:00,1,0,9613,2005,188
Vianello,2009-04-15 03:07:00,1,0,16661,2008,29
Wadester16,2009-05-05 17:07:00,1,0,3,2009,0
WereSpielChequers,2009-02-05 23:05:00,1,0,127891,2007,93
Willking1979,2009-09-08 01:54:00,1,0,39677,2008,3
Wtmitchell,2009-06-19 05:50:00,1,0,81242,2004,109
7,2009-08-14 05:57:00,0,0,34884,2007,32
95jb14,2009-10-07 18:48:00,0,0,1009,2008,2
A3RO,2009-10-13 03:05:00,0,0,13469,2006,4
A new name 2008,2009-09-10 01:12:00,0,0,0,2009,0
Abce2,2009-06-15 21:52:00,0,0,22343,2008,2
adamfinmo,2009-11-27 02:04:00,0,0,2602,2007,1
Addihockey10,2009-09-29 01:23:00,0,0,13441,2008,2
Afaprof01,2009-10-04 14:42:00,0,0,10591,2006,13
Alan16,2009-08-06 01:52:00,0,0,4417,2008,23
Alexander.hugh.george,2009-06-12 20:43:00,0,0,554,2009,5
Altruism,2009-08-28 10:48:00,0,0,5094,2007,92
Amlnet49,2009-03-07 23:43:00,0,0,3,2009,0
Andrewmc123,2009-03-08 19:04:00,0,0,3765,2008,8
andrewrp,2009-04-21 22:13:00,0,0,6776,2008,1
Ant2387,2009-07-14 21:01:00,0,0,0,2009,0
Apteva,2009-07-07 21:11:00,0,0,12263,2008,22
Arbiteroftruth,2009-06-30 03:24:00,0,0,2,2009,0
ArcAngel,2009-09-14 11:48:00,0,0,16204,2006,30
AresAndEnyo,2009-02-20 18:42:00,0,0,390,2006,3
AtheWeatherman,2009-08-28 13:27:00,0,0,3971,2008,9
Backslash Forwardslash,2009-02-13 20:11:00,0,0,20602,2008,42
Baseball Bugs,2009-03-09 21:44:00,0,0,99472,2007,136
Basket of Puppies,2009-09-15 02:46:00,0,0,6934,2009,25
Bazj,2009-04-06 18:25:00,0,0,35329,2008,49
Bcai388,2009-12-30 22:05:00,0,0,79,2009,0
Beeblebrox,2009-05-21 20:19:00,0,0,73837,2007,147
Blakegripling ph,2009-07-21 17:07:00,0,0,10709,2006,39
Blctc,2009-02-16 17:33:00,0,0,26,2006,1
BlueCaper,2009-03-25 03:45:00,0,0,2448,2007,16
Bwilkins,2009-04-15 15:43:00,0,0,1,2014,0
Ceranthor,2009-03-08 21:59:00,0,0,24520,2007,80
ChildofMidnight,2009-04-26 04:58:00,0,0,43041,2008,257
Chzz,2009-10-27 09:19:00,0,0,115888,2008,289
Cool3,2009-03-28 18:01:00,0,0,7243,2005,88
CrazyInSane,2009-07-13 20:52:00,0,0,1,2011,0
CrossHouses,2009-10-28 23:36:00,0,0,2179,2007,6
Cryptic C62,2009-02-26 20:57:00,0,0,9505,2006,39
Curtis23,2009-12-22 03:03:00,0,0,3626,2009,11
Cyclonebiskit,2009-04-10 16:20:00,0,0,45350,2008,78
Cyclonenim,2009-04-11 11:47:00,0,0,10755,2006,58
Dalekusa,2009-12-23 21:43:00,0,0,756,2007,5
David Beals,2009-11-27 02:05:00,0,0,188,2009,5
Dendodge,2009-08-31 16:33:00,0,0,12788,2007,39
DotComCairney,2009-06-25 20:38:00,0,0,411,2009,1
Download,2009-05-04 22:27:00,0,0,89359,2008,68
Dr. Szląchski,2009-09-24 02:42:00,0,0,0,2009,0
Dr.Szląchedzki,2009-10-26 04:14:00,0,0,3143,2009,107
Dylan620,2009-12-11 19:53:00,0,0,13544,2007,27
Enigmaman,2009-01-06 02:45:00,0,0,35551,2007,93
Enryū6473,2009-07-24 21:51:00,0,0,439,2006,7
Everyking,2009-05-08 16:32:00,0,0,146543,2004,2454
FlyingToaster,2009-02-20 08:37:00,0,0,20019,2006,196
FredSmit,2009-04-13 17:17:00,0,0,4,2009,0
Frozen4322,2009-06-04 17:21:00,0,0,2592,2007,1
ft12,2009-06-26 23:02:00,0,0,97,2009,3
Fuzzyhair2,2009-04-01 15:05:00,0,0,132,2006,0
Gaelen S.,2009-08-26 08:54:00,0,0,2306,2007,0
Gaia Octavia Agrippa,2009-05-05 19:48:00,0,0,43007,2007,89
Giangian15,2009-08-27 06:24:00,0,0,1169,2008,33
Giants27,2009-12-03 00:44:00,0,0,44097,2008,430
goalie1998,2009-02-26 03:25:00,0,0,384,2006,0
Gordonrox24,2009-05-24 21:00:00,0,0,5453,2009,24
Graymornings,2009-02-12 09:45:00,0,0,3108,2007,50
GrooveDog,2009-07-13 22:11:00,0,0,6623,2007,23
Grsz11,2009-12-01 22:53:00,0,0,20829,2007,237
HappyCat12,2009-01-13 00:16:00,0,0,138,2008,0
Harish89,2009-05-23 08:06:00,0,0,139,2009,17
Headbomb,2009-08-07 19:36:00,0,0,123447,2006,925
Hereford,2009-01-22 23:05:00,0,0,3518,2008,4
HJ Mitchell,2009-12-25 21:28:00,0,0,77114,2009,67
I am watching you,2009-03-07 21:58:00,0,0,95,2009,0
Ichwan Palongengi,2009-05-10 03:33:00,0,0,921,2008,3
IMatthew,2009-02-16 17:02:00,0,0,0,2013,0
ImperatorExercitus,2009-04-16 14:40:00,0,0,11370,2008,193
Ironholds,2009-03-16 01:13:00,0,0,79389,2008,552
ISD,2009-09-29 18:37:00,0,0,19975,2006,254
Itsmejudith,2009-01-11 22:23:00,0,0,21145,2006,79
J04n,2009-09-04 23:49:00,0,0,95027,2008,54
Jeffrey Mall,2009-11-14 03:58:00,0,0,16035,2008,25
Jerem43,2009-07-17 11:23:00,0,0,53088,2006,189
John-joe123,2009-01-05 12:52:00,0,0,151,2008,0
Katerenka,2009-10-24 13:55:00,0,0,2981,2009,2
Kelapstick,2009-05-26 19:35:00,0,0,39664,2006,123
Kingpin13,2009-06-11 09:08:00,0,0,54735,2008,11
Ktr101,2009-07-30 02:19:00,0,0,94762,2007,1243
Kww,2009-04-05 22:37:00,0,0,82163,2007,31
L07ChLeo3,2009-03-07 21:55:00,0,0,4,2009,0
Leonard^Bloom,2009-07-02 09:16:00,0,0,18567,2007,56
Letsdrinktea,2009-03-08 20:41:00,0,0,0,2009,0
LouriePieterse,2009-06-23 17:54:00,0,0,7592,2008,28
MacMed,2009-08-24 21:59:00,0,0,3874,2009,11
Magog the Ogre,2009-09-21 00:57:00,0,0,75683,2008,26
Majorly,2009-05-26 22:50:00,0,0,38674,2006,104
Manadude2,2009-05-11 00:29:00,0,0,4,2010,0
Markhurd,2009-04-15 18:05:00,0,0,11304,2003,43
MathCool10,2009-03-14 03:57:00,0,0,10,2009,0
Mayalld,2009-01-27 17:23:00,0,0,20694,2007,31
Mikaey,2009-03-04 02:40:00,0,0,12553,2007,5
MisterWiki,2009-12-10 20:45:00,0,0,0,2010,0
Mixwell,2009-01-23 01:34:00,0,0,11,2009,0
Momusufan,2009-12-28 17:33:00,0,0,0,2010,0
Mr Tan,2009-01-06 19:13:00,0,0,22784,2005,339
Mrmuk,2009-12-31 10:55:00,0,0,1641,2006,0
MyspaceMan12,2009-03-01 05:18:00,0,0,209,2009,2
Mythdon,2009-02-09 04:52:00,0,0,8984,2007,38
MZMcBride,2009-04-08 06:09:00,0,0,178583,2005,758
Neckername,2009-01-22 21:29:00,0,0,121,2008,2
Neurolysis,2009-04-06 20:00:00,0,0,27885,2008,81
Nosleep,2009-07-25 17:29:00,0,0,0,2010,0
Ojay123,2009-07-29 19:52:00,0,0,1866,2008,2
Ottava Rima,2009-04-01 03:25:00,0,0,20295,2007,83
Parker1297,2009-07-29 16:28:00,0,0,822,2008,16
Paul2387,2009-11-26 18:44:00,0,0,1544,2008,4
Polargeo,2009-12-16 15:30:00,0,0,9903,2009,58
Policyofmankind,2009-03-07 16:29:00,0,0,0,2009,0
PopMusicWillNeverBeLowBrow,2009-08-08 02:57:00,0,0,5,2010,0
Porchcrop,2009-07-10 09:02:00,0,0,0,2011,0
Pr3st0n,2009-09-22 19:52:00,0,0,2253,2008,2
Pyfan,2009-02-21 04:31:00,0,0,3206,2008,2
RadioFan,2009-11-26 15:24:00,0,0,93578,2005,5638
Raiku Lucifer Samiyaza,2009-02-18 22:10:00,0,0,0,2009,0
RandomStringOfCharacters,2009-08-14 07:37:00,0,0,4707,2009,15
Raza0007,2009-04-28 11:37:00,0,0,746,2006,2
Red Thunder,2009-01-01 13:38:00,0,0,0,2010,0
Renaissancee,2009-04-28 02:45:00,0,0,4666,2008,3
Rockstone35,2009-08-30 05:04:00,0,0,2351,2007,10
Roux,2009-01-01 11:30:00,0,0,23636,2008,32
RuleOfThe9th,2009-09-26 10:51:00,0,0,604,2009,2
S Marshall,2009-05-31 11:17:00,0,0,21060,2006,122
Salavat,2009-11-14 08:34:00,0,0,105869,2006,615
Schmausschmaus,2009-08-26 21:48:00,0,0,7591,2008,31
SE7,2009-03-18 17:06:00,0,0,14109,2007,10
Sebwite,2009-11-05 09:25:00,0,0,13530,2006,816
Sephiroth storm,2009-01-30 20:51:00,0,0,3993,2007,25
Shark96z,2009-09-20 06:05:00,0,0,5369,2007,59
Shoessss,2009-10-03 02:07:00,0,0,13073,2006,10
Snowded,2009-06-09 14:05:00,0,0,29829,2006,6
SOPHIAN,2009-06-16 23:10:00,0,0,1095,2009,2
Spongefrog,2009-10-24 11:36:00,0,0,11734,2009,32
Steve Crossin,2009-09-21 03:13:00,0,0,0,2009,0
Stevedietrich,2009-12-29 01:14:00,0,0,485,2009,1
Syjytg,2009-02-16 14:24:00,0,0,2715,2009,4
Synergy,2009-04-13 22:17:00,0,0,21790,2006,55
Tango,2009-10-12 02:14:00,0,0,19387,2002,20
Tarheel95,2009-03-11 01:24:00,0,0,6564,2008,2
Taymaishu,2009-08-25 08:41:00,0,0,153,2009,0
Tdrss,2009-06-02 18:56:00,0,0,7263,2006,425
Tempodivalse,2009-03-25 22:14:00,0,0,15792,2008,275
TenPoundHammer,2009-09-02 17:21:00,0,0,218352,2005,1821
Teratornis,2009-03-26 03:23:00,0,0,14681,2006,12
Texcarson,2009-07-01 16:04:00,0,0,2009,2006,43
The Black Rabbit of Inlé,2009-01-23 22:58:00,0,0,201,2008,0
The C of E,2009-06-23 15:40:00,0,0,18057,2008,5
The Cool Kat,2009-03-21 14:04:00,0,0,4686,2008,47
The ed17,2009-01-06 04:13:00,0,0,53355,2006,159
The spesh man,2009-09-01 20:39:00,0,0,0,2011,0
The Transhumanist,2009-08-06 15:27:00,0,0,93327,2006,3140
Theleftorium,2009-06-16 18:30:00,0,0,36854,2008,48
Thumperward,2009-03-09 19:40:00,0,0,111772,2005,365
Timmeh,2009-06-21 15:59:00,0,0,14157,2006,19
TParis00ap,2009-10-21 16:48:00,0,0,0,2011,0
TreasuryTag,2009-03-27 18:28:00,0,0,46643,2006,89
Tsepelcory,2009-08-14 13:39:00,0,0,76,2009,1
Tyw7,2009-05-28 12:00:00,0,0,12794,2008,10
Until It Sleeps,2009-02-01 07:41:00,0,0,3,2009,0
Versus22,2009-04-13 02:57:00,0,0,49292,2007,11
Vicenarian,2009-08-18 03:25:00,0,0,11582,2009,11
Vivio Testarossa,2009-03-18 04:46:00,0,0,17846,2007,55
Volvo B9TL,2009-05-09 00:37:00,0,0,922,2008,29
Wadester16,2009-02-10 06:20:00,0,0,3,2009,0
Wael.Mogherbi,2009-02-15 00:29:00,0,0,3286,2009,30
Wiki Greek Basketball,2009-12-23 16:22:00,0,0,35531,2008,295
Wikiwoohoo,2009-03-03 19:36:00,0,0,0,2010,0
Willking1979,2009-05-20 12:01:00,0,0,39677,2008,2
Wyatt915,2009-08-09 00:46:00,0,0,3679,2008,10
Yuvmil,2009-04-04 22:35:00,0,0,65,2008,0
Zink Dawg,2009-11-21 23:04:00,0,0,2176,2009,74
ZooFari,2009-04-06 00:43:00,0,0,35389,2008,22
ZooPro,2009-09-26 04:36:00,0,0,5491,2009,4
^demon,2008-02-15 20:19:00,1,0,16352,2005,15
52 Pickup,2008-02-22 18:32:00,1,0,9378,2006,112
Addshore,2008-10-29 16:04:00,1,0,54751,2005,43
Aervanath,2008-11-08 12:41:00,1,0,12947,2006,129
Aitias,2008-09-10 22:43:00,1,0,50076,2007,52
AKeen,2007-12-27 21:01:00,1,0,12501,2005,300
Ale jrb,2008-10-07 20:55:00,1,0,23141,2006,2
Aleta,2008-03-15 03:58:00,1,0,1,2009,0
Alex.muller,2008-02-18 20:01:00,1,0,11044,2007,20
Alexf,2008-01-17 01:56:00,1,0,115389,2004,108
Ameliorate!,2008-10-05 17:49:00,1,0,15037,2006,51
AngelOfSadness,2008-06-01 19:41:00,1,0,21489,2007,19
AniMate,2008-12-18 23:39:00,1,0,14999,2006,49
Appraiser,2008-01-02 23:27:00,1,0,42464,2006,663
Aqwis,2007-12-29 17:45:00,1,0,5672,2006,168
Archtransit,2008-01-03 17:05:00,1,0,4173,2007,24
Barneca,2008-01-31 10:44:00,1,0,16070,2006,16
Bedford,2008-04-03 22:14:00,1,0,30275,2005,259
Ben MacDui,2008-07-09 19:30:00,1,0,39999,2006,85
Berig,2008-10-25 15:26:00,1,0,20667,2006,966
Bigtimepeace,2008-04-18 23:40:00,1,0,10477,2006,26
BirgitteSB,2008-03-27 04:05:00,1,0,9062,2005,76
Bjweeks,2008-06-17 01:39:00,1,0,1,2009,0
Blueboy96,2008-02-24 03:56:00,1,0,0,2011,0
Buckshot06,2008-09-28 14:41:00,1,0,79981,2006,266
Cailil,2008-07-03 14:16:00,1,0,15044,2006,1
Camaron1,2007-12-23 00:01:00,1,0,0,2008,0
Canley,2008-01-01 23:55:00,1,0,42641,2005,1314
CapitalR,2008-04-22 23:37:00,1,0,43797,2006,102
Cbl62,2008-09-17 04:33:00,1,0,97181,2007,621
Cenarium,2008-06-12 21:02:00,1,0,24888,2007,83
Chetblong,2008-02-10 22:17:00,1,0,0,2008,0
Choess,2008-08-15 20:07:00,1,0,57851,2005,1902
CIreland,2008-01-24 19:08:00,1,0,18109,2005,96
Cirt,2008-09-08 20:32:00,1,0,194482,2007,116
Ckatz,2008-02-20 22:48:00,1,0,82665,2006,117
Cobaltbluetony,2008-03-24 18:46:00,1,0,30362,2004,266
Daniel J. Leivick,2008-04-25 22:19:00,1,0,21386,2006,18
Dank55,2008-11-25 20:23:00,1,0,1,2009,0
Davidgothberg,2008-04-03 19:46:00,1,0,16559,2004,46
DDima,2008-01-18 23:49:00,1,0,40402,2005,582
Ddstretch,2008-05-30 09:51:00,1,0,15354,2005,65
Deacon of Pndapetzim,2008-02-27 00:30:00,1,0,38710,2005,2267
DeadEyeArrow,2008-03-13 13:34:00,1,0,29017,2005,184
Discospinster,2008-03-06 18:02:00,1,0,263033,2004,386
Djsasso,2007-12-27 17:41:00,1,0,107356,2004,215
Doczilla,2008-02-08 11:41:00,1,0,38536,2006,166
Doug,2008-03-13 21:10:00,1,0,12734,2007,31
Dougweller,2008-09-11 19:45:00,1,0,2,2006,0
Dravecky,2008-11-24 22:35:00,1,0,104381,2007,1244
EdJohnston,2008-02-12 03:10:00,1,0,45105,2006,8
Efe,2008-11-13 13:34:00,1,0,33745,2007,50
EncMstr,2008-01-22 00:12:00,1,0,45096,2005,230
Epbr123,2008-06-04 17:22:00,1,0,291666,2006,2076
Esanchez7587,2008-01-15 03:58:00,1,0,33386,2006,18
Euryalus,2008-11-05 03:28:00,1,0,27141,2007,95
EyeSerene,2008-04-06 20:19:00,1,0,20213,2006,9
Firefoxman,2008-06-11 06:55:00,1,0,0,2009,0
Frank,2008-06-25 23:29:00,1,0,19017,2006,5
G.A.S,2008-09-29 10:19:00,1,0,15678,2006,18
Gadget850,2008-03-03 17:26:00,1,0,115579,2005,94
Gatoclass,2008-05-09 05:42:00,1,0,71227,2006,263
Gladys j cortez,2008-09-30 02:24:00,1,0,4577,2006,1
Gonzo fan2007,2008-01-19 04:18:00,1,0,14798,2006,157
Good Olfactory,2008-07-21 12:20:00,1,0,585699,2008,430
Gutza,2008-01-29 22:10:00,1,0,2233,2003,23
Gwen Gale,2008-05-18 01:47:00,1,0,47712,2006,14
Happy-melon,2008-01-24 21:45:00,1,0,28140,2006,43
Happyme22,2008-07-09 01:51:00,1,0,18427,2007,63
Hdt83,2008-01-23 05:47:00,1,0,17346,2006,74
Hersfold,2008-03-10 19:18:00,1,0,33142,2006,108
Horologium,2008-04-24 11:41:00,1,0,19373,2006,99
Huntster,2008-05-26 20:53:00,1,0,37184,2004,53
Hurricanehink,2008-03-10 21:28:00,1,0,49401,2005,310
Ice Cold Beer,2008-08-19 09:10:00,1,0,5759,2007,18
Icestorm815,2008-02-14 23:55:00,1,0,1,2013,0
Icewedge,2008-12-17 07:49:00,1,0,3,2010,0
Islander,2008-01-14 03:04:00,1,0,12073,2006,25
It Is Me Here,2008-12-03 08:49:00,1,0,12287,2006,234
J-stan,2008-01-01 17:46:00,1,0,5849,2006,22
J.delanoy,2008-07-20 14:26:00,1,0,310257,2006,23
J Greb,2008-03-02 23:44:00,1,0,89081,2006,40
Jac16888,2008-10-08 15:31:00,1,0,44372,2006,19
Jauerback,2008-01-18 22:56:00,1,0,28001,2007,76
Jayron32,2008-01-04 03:19:00,1,0,65170,2006,149
Jbmurray,2008-05-10 10:18:00,1,0,19870,2007,92
Jeepday,2008-01-06 16:50:00,1,0,27522,2006,149
JGHowes,2008-08-12 16:21:00,1,0,17550,2006,79
John Carter,2008-01-07 20:49:00,1,0,174424,2007,623
Jonny-mt,2008-03-20 14:30:00,1,0,9628,2006,69
JPG-GR,2008-10-12 04:38:00,1,0,45836,2006,3616
Juliancolton,2008-09-20 15:04:00,1,0,121456,2006,174
Jza84,2008-05-14 09:55:00,1,0,32775,2007,106
Kakofonous,2008-05-04 02:11:00,1,0,6956,2007,46
Karanacs,2008-06-16 16:14:00,1,0,27313,2006,250
Kbthompson,2008-01-02 15:48:00,1,0,40503,2006,97
Keeper76,2008-01-08 12:45:00,1,0,19445,2007,30
Keilana,2008-01-06 03:37:00,1,0,55680,2007,67
Kevin,2008-06-12 03:21:00,1,0,17588,2005,57
Kim Dent-Brown,2008-02-10 22:11:00,1,0,10414,2006,31
KnightLago,2008-03-27 14:58:00,1,0,15267,2006,109
L'Aquatique,2008-07-22 17:28:00,1,0,6799,2006,13
Lankiveil,2008-08-24 01:32:00,1,0,23461,2004,124
LAX,2008-01-23 19:49:00,1,0,24324,2007,43
Lazulilasher,2008-10-05 22:44:00,1,0,8585,2006,32
Lenticel,2008-06-11 01:00:00,1,0,27861,2006,61
Lomn,2008-06-26 00:48:00,1,0,6961,2005,26
Lquilter,2008-01-23 01:20:00,1,0,39615,2005,275
lustiger seth,2008-12-17 23:30:00,1,0,551,2008,0
Magioladitis,2008-10-17 19:57:00,1,0,694467,2006,225
Malcolmxl5,2008-08-23 14:45:00,1,0,75614,2007,73
Malinaccier,2008-01-19 14:42:00,1,0,15217,2007,65
Martijn Hoekstra,2008-03-25 02:00:00,1,0,19324,2005,29
Master of Puppets,2008-02-03 16:17:00,1,0,27439,2005,36
Matthewedwards,2008-07-08 03:29:00,1,0,26730,2007,57
MBisanz,2008-02-09 03:31:00,1,0,109264,2005,133
MBK004,2008-01-17 20:08:00,1,0,72668,2007,1
Melesse,2008-01-27 18:38:00,1,0,54977,2005,27
MilborneOne,2008-04-17 12:16:00,1,0,100217,2006,1080
Mitchazenia,2007-12-26 04:01:00,1,0,50310,2005,116
Mizu onna sango15,2008-11-16 18:51:00,1,0,0,2009,0
Moni3,2008-08-20 22:24:00,1,0,26735,2006,26
Nancy,2008-01-30 19:41:00,1,0,23681,2007,43
Nev1,2008-08-03 19:40:00,1,0,55258,2006,81
Nousernamesleft,2008-02-10 22:07:00,1,0,6991,2006,73
OhanaUnited,2008-02-11 19:18:00,1,0,24509,2006,17
Okiefromokla,2008-07-19 22:13:00,1,0,4594,2007,34
Parsecboy,2008-02-17 21:49:00,1,0,65928,2006,134
