@relation Data/10_clean

@attribute votes numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful numeric
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
7 , 0 , 0 , 0 , 2618 , 511 , 0 , 51 , 0 , 8900 , 487 , 0 , 0 , 1316 , 181 , 0 , 12 , 0 , 0 , 8 , 48 , 0 , 0 , 354 , 25 , 355 , 14803
31 , 0 , 0 , 0 , 35 , 5009 , 0 , 3302 , 219 , 9048 , 27794 , 0 , 0 , 3262 , 11 , 0 , 9828 , 0 , 0 , 519 , 514 , 0 , 0 , 1711 , 1496 , 700 , 50318
0 , 0 , 0 , 0 , 9 , 860 , 0 , 2236 , 84 , 2601 , 10744 , 0 , 0 , 3593 , 40 , 0 , 137 , 0 , 0 , 31 , 166 , 0 , 0 , 74 , 1253 , 24 , 19479
0 , 0 , 0 , 0 , 5 , 864 , 0 , 797 , 14 , 50 , 1564 , 0 , 0 , 130 , 7 , 0 , 129 , 0 , 0 , 1 , 33 , 0 , 0 , 24 , 62 , 0 , 2754
4 , 0 , 0 , 0 , 5 , 399 , 0 , 717 , 0 , 48 , 1316 , 0 , 0 , 669 , 0 , 0 , 309 , 0 , 0 , 11 , 42 , 0 , 0 , 67 , 236 , 1 , 2794
0 , 0 , 0 , 0 , 0 , 20 , 0 , 191 , 0 , 41 , 150 , 0 , 0 , 27 , 0 , 0 , 6 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 33 , 0 , 273
18 , 0 , 0 , 0 , 0 , 1335 , 0 , 805 , 11 , 137 , 1630 , 0 , 0 , 403 , 0 , 0 , 23 , 0 , 0 , 0 , 14 , 0 , 0 , 40 , 246 , 3 , 3819
2 , 0 , 0 , 0 , 2 , 1355 , 0 , 1417 , 10 , 947 , 5992 , 0 , 0 , 821 , 19 , 0 , 444 , 1 , 0 , 18 , 305 , 0 , 0 , 481 , 244 , 66 , 10260
4 , 0 , 0 , 0 , 0 , 2403 , 0 , 1266 , 1 , 1738 , 12167 , 0 , 0 , 2984 , 0 , 0 , 6 , 1 , 0 , 2 , 5 , 0 , 0 , 140 , 70 , 38 , 19548
6 , 0 , 0 , 0 , 1 , 6131 , 0 , 1677 , 10 , 2031 , 9748 , 0 , 0 , 1365 , 0 , 0 , 23 , 1 , 0 , 5 , 62 , 0 , 0 , 163 , 725 , 25 , 20266
6 , 3 , 0 , 4 , 184 , 4175 , 0 , 2750 , 86 , 104667 , 86157 , 0 , 0 , 1901 , 6 , 0 , 60 , 1 , 0 , 31 , 48 , 0 , 0 , 217 , 2181 , 35 , 199695
1 , 0 , 0 , 0 , 1 , 2460 , 0 , 2495 , 188 , 1396 , 6059 , 0 , 0 , 2789 , 0 , 0 , 760 , 1 , 0 , 20 , 2709 , 0 , 0 , 248 , 548 , 482 , 16900
0 , 0 , 0 , 0 , 15 , 3596 , 0 , 1832 , 61 , 822 , 8393 , 0 , 0 , 1254 , 10 , 0 , 291 , 1 , 0 , 39 , 225 , 0 , 0 , 130 , 112 , 89 , 14746
2 , 0 , 0 , 0 , 2 , 628 , 0 , 1639 , 0 , 449 , 608 , 0 , 0 , 289 , 2 , 0 , 79 , 1 , 0 , 5 , 24 , 0 , 0 , 76 , 59 , 2 , 2144
0 , 0 , 0 , 0 , 9 , 537 , 0 , 1994 , 340 , 1400 , 59937 , 0 , 0 , 132 , 0 , 0 , 926 , 1 , 0 , 1893 , 230 , 0 , 0 , 51 , 3957 , 39 , 68525
1 , 0 , 0 , 0 , 76 , 708 , 0 , 2065 , 16 , 373 , 4683 , 0 , 0 , 327 , 0 , 0 , 1235 , 1 , 0 , 479 , 57 , 0 , 0 , 49 , 88 , 15 , 6871
0 , 0 , 0 , 0 , 23 , 480 , 0 , 2161 , 0 , 300 , 3156 , 0 , 0 , 645 , 0 , 0 , 5493 , 1 , 0 , 17 , 142 , 0 , 0 , 235 , 37 , 43 , 5078
2 , 0 , 0 , 0 , 32 , 582 , 0 , 2531 , 23 , 4605 , 8496 , 0 , 0 , 1097 , 7 , 0 , 513 , 1 , 0 , 93 , 427 , 0 , 0 , 379 , 1978 , 412 , 18131
