@relation ../Data/13_accounts

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
3 , 688 , 0 , 0 , 0 , 0 , 797 , 0 , 1779 , 24 , 186 , 668 , 0 , 7 , 0 , 763 , 2 , 0 , 93 , 0 , 2 , 0 , 176 , 0 , 5 , 185 , 452 , 10 , 3263
30 , 695 , 0 , 0 , 0 , 0 , 2716 , 0 , 1764 , 1 , 831 , 2322 , 0 , 89 , 0 , 990 , 0 , 7 , 80 , 0 , 7 , 23 , 14 , 2 , 73 , 138 , 391 , 9 , 7435
7 , 15 , 0 , 0 , 0 , 2618 , 511 , 0 , 51 , 0 , 8900 , 487 , 0 , 18 , 0 , 1316 , 181 , 1 , 12 , 0 , 2 , 8 , 48 , 0 , 15 , 354 , 25 , 355 , 14803
31 , 77 , 0 , 0 , 0 , 35 , 5009 , 1 , 3302 , 219 , 9048 , 27794 , 0 , 189 , 0 , 3262 , 11 , 9 , 9828 , 0 , 10 , 519 , 514 , 1 , 168 , 1711 , 1496 , 700 , 50318
0 , 124 , 0 , 0 , 0 , 9 , 860 , 0 , 2236 , 84 , 2601 , 10744 , 0 , 12 , 0 , 3593 , 40 , 0 , 137 , 0 , 12 , 31 , 166 , 0 , 0 , 74 , 1253 , 24 , 19479
0 , 11 , 0 , 2 , 0 , 5 , 864 , 2 , 797 , 14 , 50 , 1564 , 3 , 109 , 0 , 130 , 7 , 5 , 129 , 0 , 23 , 1 , 33 , 2 , 72 , 24 , 62 , 0 , 2754
4 , 290 , 0 , 0 , 0 , 5 , 399 , 0 , 717 , 0 , 48 , 1316 , 0 , 2 , 0 , 669 , 0 , 0 , 309 , 0 , 0 , 11 , 42 , 0 , 2 , 67 , 236 , 1 , 2794
0 , 59 , 0 , 0 , 0 , 0 , 20 , 0 , 191 , 0 , 41 , 150 , 0 , 5 , 0 , 27 , 0 , 0 , 6 , 0 , 1 , 0 , 1 , 0 , 4 , 1 , 33 , 0 , 273
18 , 688 , 0 , 0 , 0 , 0 , 1335 , 0 , 805 , 11 , 137 , 1630 , 1 , 101 , 0 , 403 , 0 , 9 , 23 , 0 , 13 , 0 , 14 , 0 , 78 , 40 , 246 , 3 , 3819
2 , 29 , 0 , 0 , 0 , 2 , 1355 , 3 , 1417 , 10 , 947 , 5992 , 9 , 159 , 0 , 821 , 19 , 16 , 444 , 1 , 33 , 18 , 305 , 0 , 98 , 481 , 244 , 66 , 10260
