@relation ../Data/13/2007

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
0 , 1 , 0 , 0 , 0 , 0 , 33 , 0 , 77 , 0 , 8 , 25 , 0 , 14 , 1 , 13 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 1 , 8 , 0 , 66 , 0 , 145
0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 342 , 1 , 5 , 34 , 0 , 0 , 0 , 2 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 8 , 0 , 52
0 , 1 , 0 , 0 , 0 , 0 , 15 , 0 , 664 , 0 , 8 , 22 , 0 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 49
0 , 1 , 0 , 0 , 0 , 0 , 308 , 0 , 347 , 7 , 46 , 525 , 2 , 194 , 0 , 88 , 0 , 3 , 38 , 0 , 19 , 0 , 3 , 10 , 160 , 1 , 21 , 0 , 999
0 , 1 , 0 , 0 , 0 , 0 , 9 , 0 , 634 , 0 , 14 , 9 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 41
0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 98 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 5 , 0 , 11
0 , 2 , 0 , 0 , 0 , 1 , 338 , 0 , 296 , 0 , 303 , 616 , 0 , 6 , 0 , 166 , 0 , 0 , 14 , 0 , 5 , 0 , 5 , 0 , 1 , 291 , 34 , 7 , 1761
10 , 1 , 0 , 0 , 0 , 1 , 310 , 0 , 551 , 0 , 127 , 774 , 2 , 61 , 0 , 241 , 0 , 0 , 567 , 1 , 3 , 0 , 3 , 0 , 56 , 24 , 7 , 4 , 1491
0 , 1 , 0 , 0 , 0 , 4 , 946 , 0 , 470 , 5 , 73 , 3118 , 1 , 73 , 0 , 63 , 1 , 1 , 328 , 1 , 10 , 54 , 2 , 1 , 60 , 2 , 13 , 1 , 4282
0 , 4 , 0 , 0 , 0 , 0 , 730 , 0 , 902 , 7 , 851 , 10361 , 0 , 65 , 1 , 761 , 0 , 0 , 85 , 1 , 7 , 23 , 33 , 0 , 57 , 123 , 190 , 7 , 13086
23 , 2 , 0 , 4 , 0 , 0 , 1837 , 0 , 576 , 4 , 594 , 9548 , 7 , 163 , 0 , 2135 , 0 , 8 , 79 , 1 , 43 , 89 , 7 , 0 , 101 , 180 , 49 , 9 , 14452
0 , 2 , 0 , 0 , 0 , 0 , 2042 , 0 , 442 , 1 , 4490 , 10688 , 0 , 30 , 0 , 136 , 0 , 0 , 334 , 1 , 25 , 30 , 53 , 0 , 5 , 31 , 103 , 40 , 17614
26 , 47 , 0 , 0 , 0 , 64 , 886 , 0 , 351 , 1 , 990 , 753 , 0 , 68 , 2 , 167 , 0 , 2 , 192 , 1 , 10 , 8 , 9 , 6 , 48 , 97 , 100 , 20 , 3095
5 , 2 , 0 , 0 , 0 , 0 , 2249 , 0 , 580 , 1032 , 6526 , 8329 , 2 , 119 , 0 , 1076 , 3 , 12 , 106 , 1 , 21 , 8 , 229 , 0 , 84 , 191 , 971 , 3 , 20617
0 , 3 , 0 , 1 , 0 , 3 , 1674 , 0 , 451 , 3 , 443 , 26855 , 10 , 142 , 0 , 581 , 2 , 1 , 1803 , 1 , 27 , 203 , 1994 , 2 , 101 , 75 , 140 , 6 , 31979
62 , 2 , 0 , 0 , 0 , 5 , 212 , 0 , 320 , 0 , 1344 , 717 , 0 , 107 , 0 , 582 , 0 , 1 , 70 , 1 , 5 , 2 , 15 , 0 , 101 , 48 , 22 , 8 , 2955
5 , 17 , 0 , 1 , 0 , 1 , 1095 , 0 , 557 , 1 , 180 , 3513 , 3 , 96 , 0 , 216 , 0 , 3 , 74 , 1 , 12 , 4 , 13 , 8 , 69 , 34 , 74 , 8 , 5139
12 , 4 , 0 , 0 , 1 , 1 , 6182 , 0 , 669 , 624 , 1611 , 19071 , 1 , 77 , 1 , 1619 , 0 , 1 , 5 , 0 , 4 , 72 , 158 , 9 , 61 , 263 , 1432 , 10 , 31044
13 , 2 , 0 , 0 , 0 , 0 , 781 , 0 , 212 , 6 , 61 , 1134 , 2 , 157 , 1 , 1584 , 0 , 0 , 179 , 0 , 1 , 3 , 31 , 9 , 144 , 19 , 87 , 0 , 3706
13 , 2 , 0 , 2 , 0 , 1 , 941 , 0 , 338 , 82 , 585 , 3225 , 1 , 159 , 0 , 1703 , 0 , 9 , 366 , 0 , 69 , 96 , 130 , 0 , 78 , 75 , 319 , 48 , 7205
20 , 3 , 0 , 0 , 0 , 0 , 292 , 0 , 578 , 11 , 37 , 532 , 2 , 83 , 1 , 163 , 0 , 3 , 117 , 1 , 10 , 0 , 4 , 2 , 65 , 8 , 22 , 0 , 1069
4 , 4 , 0 , 1 , 0 , 1 , 1208 , 0 , 798 , 3 , 118 , 1105 , 0 , 75 , 0 , 743 , 0 , 0 , 19 , 1 , 4 , 2 , 372 , 0 , 70 , 144 , 525 , 143 , 4364
0 , 41 , 0 , 0 , 1 , 15 , 530 , 0 , 875 , 7 , 799 , 7515 , 1 , 35 , 0 , 549 , 0 , 1 , 138 , 1 , 14 , 177 , 535 , 0 , 19 , 149 , 677 , 170 , 11124
0 , 4 , 0 , 0 , 0 , 2 , 1099 , 0 , 492 , 0 , 181 , 2154 , 0 , 22 , 0 , 586 , 0 , 0 , 625 , 1 , 0 , 18 , 13 , 0 , 22 , 60 , 140 , 1 , 4254
0 , 4 , 0 , 0 , 0 , 4 , 138 , 0 , 738 , 2 , 99 , 685 , 2 , 127 , 0 , 276 , 0 , 4 , 182 , 1 , 33 , 631 , 230 , 0 , 88 , 68 , 59 , 62 , 2254
0 , 2 , 0 , 0 , 1 , 3 , 75 , 0 , 633 , 7 , 302 , 3571 , 1 , 198 , 0 , 312 , 3 , 3 , 67 , 1 , 1 , 9 , 11 , 2 , 191 , 33 , 79 , 16 , 4422
95 , 1 , 0 , 0 , 0 , 0 , 1541 , 0 , 150 , 1 , 295 , 2689 , 3 , 42 , 0 , 1043 , 0 , 4 , 20 , 1 , 25 , 2 , 30 , 0 , 10 , 37 , 130 , 3 , 5771
71 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 227 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
25 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 2013 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
85 , 1 , 0 , 0 , 0 , 2 , 1794 , 0 , 659 , 0 , 347 , 2235 , 0 , 11 , 0 , 2769 , 0 , 2 , 68 , 1 , 0 , 2 , 23 , 0 , 9 , 507 , 402 , 1 , 8082
0 , 1 , 0 , 0 , 0 , 0 , 5 , 0 , 143 , 0 , 0 , 2 , 0 , 0 , 0 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 21
0 , 1 , 0 , 0 , 0 , 1 , 20 , 0 , 111 , 1 , 9 , 41 , 0 , 0 , 0 , 17 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 39 , 0 , 129
0 , 1 , 0 , 0 , 0 , 0 , 9 , 0 , 385 , 0 , 16 , 158 , 0 , 14 , 0 , 15 , 0 , 0 , 57 , 0 , 4 , 0 , 1 , 0 , 10 , 0 , 5 , 0 , 204
0 , 4 , 0 , 0 , 0 , 0 , 39 , 0 , 522 , 0 , 37 , 294 , 0 , 1 , 0 , 13 , 0 , 0 , 31 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 120 , 2 , 507
0 , 2 , 0 , 0 , 0 , 0 , 2396 , 0 , 69 , 1 , 265 , 1690 , 3 , 188 , 1 , 977 , 4 , 6 , 5 , 0 , 16 , 4 , 33 , 6 , 156 , 52 , 35 , 6 , 5463
0 , 1 , 0 , 0 , 0 , 0 , 993 , 0 , 172 , 5 , 144 , 1059 , 0 , 17 , 0 , 171 , 1 , 1 , 2 , 0 , 1 , 3 , 38 , 0 , 15 , 17 , 318 , 0 , 2749
21 , 11 , 0 , 1 , 0 , 3 , 263 , 0 , 183 , 26 , 196 , 2233 , 4 , 129 , 1 , 1111 , 0 , 7 , 64 , 0 , 31 , 68 , 171 , 3 , 82 , 113 , 131 , 39 , 4354
0 , 1 , 0 , 0 , 0 , 0 , 103 , 0 , 6 , 0 , 0 , 2 , 0 , 0 , 0 , 21 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 128
0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 342 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 1 , 0 , 0 , 0 , 0 , 16 , 0 , 1 , 1 , 12 , 32 , 0 , 0 , 0 , 6 , 0 , 0 , 2 , 0 , 0 , 0 , 18 , 0 , 0 , 0 , 79 , 0 , 164
0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 1312 , 3 , 5 , 158 , 0 , 12 , 0 , 10 , 0 , 0 , 110 , 0 , 10 , 0 , 2 , 0 , 2 , 0 , 1 , 0 , 182
0 , 1 , 0 , 0 , 0 , 0 , 5 , 0 , 242 , 2 , 3 , 241 , 0 , 1 , 0 , 16 , 0 , 0 , 26 , 0 , 1 , 1 , 10 , 0 , 0 , 0 , 54 , 0 , 332
0 , 3 , 0 , 0 , 0 , 0 , 782 , 0 , 194 , 10 , 239 , 2142 , 0 , 6 , 0 , 159 , 0 , 1 , 167 , 0 , 3 , 32 , 15 , 0 , 2 , 13 , 67 , 0 , 3459
0 , 1 , 0 , 1 , 0 , 0 , 209 , 0 , 65 , 0 , 47 , 323 , 2 , 59 , 0 , 223 , 0 , 0 , 5 , 0 , 5 , 2 , 3 , 5 , 46 , 4 , 28 , 0 , 839
0 , 1 , 0 , 0 , 0 , 1 , 51 , 0 , 3 , 0 , 5 , 91 , 0 , 0 , 0 , 40 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 5 , 14 , 2 , 213
0 , 2 , 0 , 0 , 0 , 0 , 10 , 0 , 148 , 0 , 18 , 35 , 0 , 0 , 0 , 21 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 0 , 103
0 , 1 , 0 , 0 , 0 , 0 , 38 , 0 , 422 , 5 , 62 , 1098 , 0 , 0 , 0 , 40 , 0 , 0 , 139 , 0 , 0 , 114 , 26 , 0 , 0 , 7 , 47 , 1 , 1438
10 , 4 , 0 , 1 , 0 , 2 , 321 , 1 , 937 , 8 , 1579 , 4663 , 3 , 111 , 3 , 698 , 1 , 7 , 750 , 0 , 24 , 2 , 55 , 1 , 71 , 331 , 323 , 20 , 8003
0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 389 , 0 , 0 , 2 , 0 , 0 , 0 , 6 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 14
1 , 1 , 0 , 0 , 0 , 0 , 21 , 0 , 205 , 0 , 25 , 172 , 3 , 49 , 0 , 171 , 0 , 8 , 35 , 0 , 5 , 0 , 3 , 2 , 31 , 16 , 11 , 0 , 419
0 , 1 , 0 , 0 , 0 , 0 , 22 , 0 , 268 , 0 , 5 , 14 , 0 , 0 , 0 , 12 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 16 , 0 , 69
0 , 1 , 0 , 0 , 0 , 0 , 102 , 0 , 303 , 0 , 124 , 207 , 0 , 119 , 1 , 317 , 0 , 13 , 36 , 0 , 43 , 0 , 0 , 0 , 62 , 21 , 4 , 0 , 775
0 , 2 , 0 , 0 , 0 , 1 , 554 , 0 , 567 , 2 , 51 , 5604 , 1 , 56 , 0 , 95 , 0 , 1 , 81 , 0 , 4 , 8 , 24 , 2 , 48 , 45 , 17 , 3 , 6404
1 , 1 , 0 , 2 , 0 , 2 , 1608 , 0 , 264 , 0 , 128 , 1932 , 11 , 175 , 0 , 259 , 0 , 21 , 2 , 0 , 83 , 3 , 3 , 1 , 57 , 3 , 34 , 0 , 3972
21 , 4 , 0 , 1 , 0 , 22 , 1463 , 0 , 681 , 58 , 550 , 8106 , 10 , 146 , 0 , 841 , 0 , 10 , 284 , 0 , 30 , 540 , 37 , 0 , 95 , 265 , 336 , 9 , 12227
8 , 1 , 0 , 1 , 0 , 2 , 907 , 0 , 429 , 3 , 565 , 2232 , 1 , 36 , 0 , 705 , 1 , 9 , 283 , 0 , 11 , 8 , 202 , 1 , 13 , 312 , 130 , 95 , 5162
158 , 8 , 0 , 0 , 0 , 3202 , 3105 , 0 , 554 , 21 , 645 , 4406 , 1 , 191 , 0 , 2567 , 22 , 1 , 1740 , 0 , 43 , 34 , 21 , 0 , 146 , 522 , 431 , 1117 , 16093
25 , 1 , 0 , 0 , 0 , 1 , 4499 , 0 , 354 , 1 , 178 , 4603 , 0 , 5 , 0 , 1044 , 0 , 0 , 6 , 0 , 0 , 10 , 56 , 0 , 5 , 25 , 279 , 2 , 10698
130 , 4 , 0 , 0 , 0 , 0 , 404 , 0 , 793 , 6 , 99 , 834 , 5 , 94 , 2 , 255 , 0 , 8 , 314 , 0 , 8 , 5 , 11 , 7 , 64 , 6 , 92 , 3 , 1715
