@relation ../Data/13/2008

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
18 , 23 , 0 , 0 , 0 , 0 , 713 , 0 , 170 , 21 , 241 , 830 , 13 , 111 , 1 , 552 , 2 , 13 , 3 , 1 , 22 , 2 , 25 , 5 , 57 , 278 , 288 , 11 , 2963
1 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 1265 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 1 , 0 , 4 , 0 , 0 , 26 , 0 , 905 , 0 , 3 , 18 , 2 , 170 , 0 , 37 , 0 , 8 , 4 , 0 , 92 , 0 , 0 , 2 , 62 , 0 , 1 , 0 , 85
5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 946 , 1 , 5 , 63 , 0 , 0 , 0 , 6 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 79
2 , 2 , 0 , 2 , 0 , 0 , 2846 , 0 , 1177 , 4 , 151 , 3650 , 1 , 94 , 1 , 439 , 0 , 3 , 22 , 0 , 21 , 9 , 4 , 1 , 65 , 10 , 167 , 0 , 7280
0 , 1 , 0 , 0 , 0 , 0 , 79 , 0 , 13 , 0 , 1 , 21 , 0 , 0 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 116
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 424 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
34 , 9 , 0 , 0 , 0 , 0 , 110 , 0 , 1088 , 7 , 263 , 113 , 0 , 115 , 0 , 191 , 0 , 3 , 15 , 1 , 6 , 0 , 4 , 5 , 101 , 43 , 27 , 3 , 761
0 , 6 , 0 , 0 , 0 , 0 , 60 , 0 , 529 , 0 , 76 , 360 , 0 , 24 , 0 , 131 , 0 , 4 , 112 , 1 , 5 , 16 , 179 , 0 , 15 , 70 , 10 , 65 , 967
5 , 38 , 0 , 0 , 1 , 1 , 13176 , 0 , 1059 , 11 , 227 , 13482 , 0 , 78 , 0 , 2407 , 1 , 7 , 43 , 1 , 6 , 9 , 157 , 0 , 65 , 70 , 1046 , 16 , 30604
2 , 35 , 0 , 0 , 0 , 3 , 858 , 0 , 730 , 1 , 511 , 2007 , 3 , 95 , 0 , 1190 , 1 , 10 , 129 , 1 , 16 , 21 , 232 , 4 , 62 , 382 , 174 , 99 , 5479
0 , 30 , 0 , 0 , 1 , 1 , 15701 , 0 , 282 , 4 , 597 , 17062 , 0 , 1 , 0 , 1270 , 3 , 0 , 52 , 1 , 1 , 22 , 43 , 0 , 0 , 28 , 190 , 4 , 34926
11 , 30 , 0 , 0 , 0 , 1 , 6123 , 0 , 938 , 5 , 116 , 5619 , 0 , 4 , 0 , 536 , 0 , 0 , 2 , 1 , 0 , 7 , 10 , 0 , 4 , 10 , 667 , 1 , 13095
3 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 385 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
4 , 2 , 0 , 0 , 0 , 2 , 1414 , 0 , 265 , 16 , 167 , 1578 , 4 , 58 , 0 , 332 , 1 , 4 , 20 , 1 , 4 , 0 , 7 , 2 , 44 , 27 , 39 , 5 , 3588
1 , 4 , 0 , 0 , 0 , 0 , 1042 , 0 , 1392 , 0 , 143 , 944 , 1 , 144 , 0 , 112 , 0 , 0 , 108 , 1 , 3 , 0 , 3 , 23 , 117 , 9 , 81 , 0 , 2334
1 , 14 , 0 , 0 , 1 , 0 , 1485 , 0 , 894 , 12 , 235 , 8830 , 1 , 11 , 0 , 588 , 0 , 0 , 51 , 1 , 2 , 48 , 623 , 0 , 8 , 86 , 75 , 158 , 12141
13 , 1 , 0 , 0 , 0 , 0 , 1671 , 0 , 381 , 29 , 145 , 1734 , 2 , 62 , 0 , 215 , 0 , 2 , 19 , 1 , 5 , 1 , 30 , 0 , 53 , 3 , 156 , 3 , 3987
29 , 25 , 0 , 0 , 0 , 0 , 986 , 0 , 985 , 0 , 663 , 3412 , 3 , 118 , 0 , 626 , 0 , 9 , 49 , 1 , 12 , 1 , 19 , 6 , 88 , 56 , 179 , 28 , 5970
2 , 3 , 0 , 0 , 0 , 6 , 105 , 0 , 520 , 4 , 189 , 3345 , 1 , 23 , 0 , 64 , 0 , 0 , 663 , 1 , 15 , 54 , 15 , 0 , 7 , 27 , 25 , 7 , 3841
6 , 1 , 0 , 0 , 0 , 0 , 394 , 0 , 190 , 1 , 77 , 77 , 0 , 14 , 0 , 65 , 0 , 3 , 24 , 1 , 5 , 0 , 89 , 0 , 6 , 10 , 9 , 35 , 757
2 , 9 , 0 , 0 , 0 , 0 , 299 , 0 , 397 , 0 , 21 , 284 , 0 , 17 , 1 , 71 , 0 , 1 , 16 , 1 , 3 , 0 , 7 , 2 , 10 , 26 , 10 , 0 , 718
1 , 2 , 0 , 1 , 0 , 3 , 266 , 0 , 1067 , 2 , 1882 , 1734 , 0 , 33 , 0 , 601 , 1 , 0 , 259 , 1 , 31 , 7 , 124 , 0 , 1 , 65 , 311 , 316 , 5312
21 , 2 , 0 , 1 , 0 , 3 , 640 , 0 , 662 , 0 , 963 , 3213 , 2 , 98 , 0 , 562 , 0 , 4 , 85 , 1 , 43 , 17 , 32 , 1 , 47 , 180 , 1503 , 65 , 7178
0 , 4 , 0 , 1 , 0 , 0 , 801 , 0 , 800 , 71 , 3372 , 10239 , 3 , 197 , 0 , 493 , 0 , 5 , 966 , 1 , 28 , 51 , 82 , 2 , 158 , 103 , 259 , 123 , 15594
8 , 2 , 0 , 0 , 0 , 0 , 612 , 0 , 676 , 1 , 402 , 1043 , 5 , 84 , 0 , 223 , 0 , 9 , 26 , 1 , 24 , 1 , 0 , 0 , 46 , 65 , 107 , 9 , 2463
11 , 4 , 0 , 0 , 0 , 5 , 199 , 0 , 997 , 1 , 324 , 842 , 0 , 20 , 0 , 333 , 1 , 0 , 76 , 1 , 3 , 8 , 18 , 0 , 17 , 86 , 31 , 18 , 1866
32 , 29 , 0 , 0 , 0 , 0 , 0 , 0 , 720 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
9 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 966 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 2 , 1 , 0 , 1 , 2 , 959 , 0 , 786 , 4 , 2363 , 12540 , 3 , 185 , 0 , 682 , 0 , 26 , 266 , 1 , 40 , 144 , 90 , 0 , 116 , 310 , 294 , 2 , 17392
4 , 27 , 0 , 2 , 0 , 7 , 920 , 0 , 595 , 0 , 1092 , 1193 , 7 , 93 , 0 , 581 , 0 , 17 , 1 , 1 , 13 , 10 , 31 , 3 , 51 , 191 , 222 , 6 , 4253
8 , 6 , 0 , 2 , 0 , 0 , 104 , 0 , 873 , 71 , 87 , 1435 , 0 , 92 , 0 , 390 , 0 , 0 , 1314 , 1 , 82 , 7 , 10 , 0 , 8 , 4 , 38 , 1 , 2147
5 , 4 , 0 , 0 , 0 , 1 , 156 , 0 , 788 , 1 , 35 , 2683 , 2 , 11 , 0 , 57 , 0 , 0 , 102 , 1 , 0 , 36 , 4593 , 0 , 9 , 36 , 201 , 72 , 7871
0 , 2 , 0 , 3 , 0 , 0 , 420 , 1 , 486 , 172 , 423 , 13325 , 2 , 163 , 0 , 143 , 2 , 1 , 621 , 1 , 59 , 10 , 271 , 0 , 97 , 100 , 980 , 960 , 16806
21 , 75 , 0 , 0 , 0 , 1 , 2473 , 0 , 199 , 4 , 346 , 2867 , 3 , 67 , 0 , 663 , 1 , 5 , 83 , 1 , 16 , 11 , 59 , 2 , 41 , 129 , 66 , 3 , 6623
0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
5 , 16 , 0 , 2 , 0 , 3 , 678 , 0 , 1212 , 17 , 571 , 13700 , 7 , 141 , 0 , 290 , 2 , 20 , 1902 , 1 , 16 , 99 , 46 , 0 , 96 , 65 , 930 , 21 , 16422
12 , 3 , 0 , 0 , 0 , 0 , 60 , 0 , 873 , 2 , 5 , 105 , 0 , 82 , 1 , 86 , 0 , 5 , 96 , 1 , 8 , 0 , 0 , 9 , 59 , 0 , 5 , 0 , 263
63 , 52 , 0 , 0 , 0 , 4 , 4750 , 3 , 353 , 164 , 2761 , 7198 , 7 , 181 , 1 , 3635 , 29 , 5 , 116 , 1 , 112 , 112 , 386 , 0 , 53 , 925 , 249 , 180 , 20393
2 , 10 , 0 , 4 , 0 , 0 , 540 , 0 , 758 , 4 , 409 , 3431 , 2 , 76 , 1 , 156 , 0 , 2 , 117 , 1 , 30 , 0 , 69 , 0 , 37 , 30 , 35 , 16 , 4690
0 , 1 , 0 , 0 , 0 , 0 , 2560 , 0 , 1512 , 0 , 234 , 1766 , 0 , 93 , 0 , 679 , 0 , 0 , 266 , 1 , 3 , 4 , 17 , 2 , 88 , 37 , 135 , 9 , 5441
0 , 2 , 0 , 0 , 0 , 0 , 480 , 0 , 737 , 2 , 230 , 2588 , 0 , 70 , 0 , 483 , 0 , 0 , 18 , 1 , 4 , 4 , 6 , 1 , 65 , 15 , 23 , 0 , 3831
32 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 175 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 3 , 0 , 0 , 0 , 12 , 213 , 0 , 1289 , 47 , 115 , 497 , 0 , 5 , 0 , 341 , 28 , 0 , 46 , 1 , 1 , 71 , 648 , 0 , 4 , 164 , 492 , 281 , 2909
14 , 15 , 0 , 0 , 0 , 2 , 201 , 1 , 753 , 6 , 93 , 951 , 2 , 192 , 0 , 185 , 0 , 10 , 582 , 1 , 40 , 26 , 67 , 5 , 134 , 2 , 71 , 10 , 1614
0 , 5 , 0 , 0 , 0 , 2 , 963 , 0 , 1213 , 6 , 779 , 2291 , 0 , 36 , 0 , 533 , 0 , 1 , 65 , 1 , 17 , 16 , 102 , 1 , 17 , 547 , 36 , 209 , 5484
0 , 2 , 0 , 1 , 0 , 18 , 428 , 0 , 1111 , 4 , 1179 , 4492 , 0 , 44 , 0 , 388 , 1 , 0 , 2267 , 1 , 17 , 96 , 164 , 0 , 26 , 174 , 137 , 70 , 7151
7 , 4 , 0 , 6 , 2 , 1 , 4523 , 0 , 969 , 5 , 329 , 10113 , 0 , 39 , 0 , 548 , 3 , 2 , 184 , 1 , 1 , 12 , 30 , 3 , 27 , 28 , 241 , 3 , 15838
0 , 2 , 0 , 0 , 1 , 1 , 1643 , 0 , 1349 , 18 , 340 , 10768 , 1 , 142 , 0 , 361 , 1 , 2 , 386 , 1 , 3 , 19 , 24 , 0 , 136 , 8 , 158 , 3 , 13345
29 , 4 , 0 , 0 , 0 , 13 , 3013 , 0 , 735 , 5 , 174 , 5286 , 4 , 196 , 0 , 1193 , 0 , 11 , 166 , 1 , 22 , 24 , 39 , 2 , 157 , 53 , 380 , 6 , 10186
7 , 9 , 0 , 0 , 0 , 23 , 1676 , 0 , 392 , 0 , 549 , 906 , 0 , 11 , 0 , 815 , 1 , 1 , 31 , 1 , 3 , 18 , 41 , 1 , 6 , 407 , 267 , 23 , 4726
0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 968 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2
0 , 2 , 0 , 10 , 0 , 423 , 951 , 0 , 537 , 652 , 3272 , 22998 , 2 , 172 , 0 , 894 , 0 , 12 , 1244 , 1 , 97 , 463 , 1728 , 1 , 50 , 183 , 224 , 115 , 31903
59 , 5 , 0 , 0 , 0 , 49 , 495 , 0 , 625 , 1 , 300 , 443 , 0 , 127 , 0 , 520 , 0 , 3 , 8 , 1 , 43 , 1 , 2 , 1 , 80 , 77 , 58 , 4 , 1950
2 , 1 , 0 , 0 , 0 , 0 , 2460 , 0 , 497 , 347 , 1826 , 10740 , 1 , 18 , 0 , 825 , 1 , 0 , 50 , 1 , 4 , 0 , 57 , 1 , 12 , 238 , 977 , 46 , 17517
0 , 3 , 0 , 0 , 0 , 1 , 399 , 0 , 810 , 0 , 169 , 546 , 0 , 10 , 0 , 41 , 0 , 0 , 230 , 1 , 0 , 1 , 4 , 0 , 10 , 12 , 22 , 2 , 1197
87 , 2 , 0 , 0 , 4 , 0 , 13162 , 0 , 660 , 49 , 4185 , 26530 , 17 , 193 , 0 , 2336 , 0 , 5 , 2076 , 1 , 46 , 11 , 31 , 0 , 125 , 297 , 349 , 1 , 46955
0 , 1 , 0 , 0 , 0 , 0 , 410 , 0 , 486 , 0 , 32 , 932 , 0 , 75 , 0 , 47 , 0 , 0 , 18 , 1 , 2 , 0 , 5 , 1 , 72 , 1 , 36 , 0 , 1463
34 , 3 , 0 , 0 , 0 , 4 , 1404 , 0 , 577 , 11 , 3064 , 6779 , 9 , 149 , 0 , 617 , 0 , 9 , 95 , 1 , 22 , 32 , 16 , 1 , 108 , 63 , 157 , 6 , 12153
2 , 2 , 0 , 0 , 0 , 0 , 364 , 0 , 574 , 1 , 285 , 395 , 1 , 187 , 0 , 110 , 0 , 13 , 9 , 1 , 14 , 0 , 10 , 3 , 156 , 115 , 154 , 0 , 1434
0 , 17 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
25 , 4 , 0 , 0 , 0 , 0 , 886 , 0 , 767 , 0 , 166 , 1915 , 2 , 144 , 0 , 366 , 0 , 2 , 5 , 1 , 16 , 1 , 1 , 2 , 122 , 6 , 114 , 0 , 3455
0 , 28 , 0 , 0 , 0 , 55 , 549 , 0 , 756 , 7 , 2103 , 2019 , 3 , 14 , 0 , 524 , 0 , 7 , 18 , 1 , 1 , 89 , 33 , 0 , 3 , 625 , 152 , 84 , 6240
0 , 6 , 0 , 0 , 0 , 6 , 611 , 1 , 960 , 187 , 1019 , 3234 , 0 , 36 , 0 , 240 , 0 , 13 , 94 , 1 , 9 , 11 , 288 , 1 , 12 , 154 , 53 , 90 , 5893
2 , 2 , 0 , 0 , 0 , 0 , 976 , 0 , 760 , 56 , 866 , 2634 , 2 , 100 , 0 , 357 , 0 , 4 , 263 , 1 , 28 , 0 , 1239 , 0 , 66 , 270 , 690 , 1202 , 8290
3 , 1 , 0 , 0 , 0 , 0 , 636 , 0 , 731 , 1 , 101 , 929 , 0 , 21 , 0 , 431 , 0 , 7 , 1 , 1 , 1 , 0 , 0 , 0 , 13 , 5 , 89 , 0 , 2192
14 , 3 , 0 , 0 , 0 , 27 , 206 , 0 , 630 , 0 , 780 , 209 , 0 , 7 , 0 , 272 , 1 , 0 , 157 , 1 , 0 , 20 , 58 , 0 , 7 , 56 , 33 , 56 , 1718
8 , 3 , 0 , 1 , 0 , 90 , 1029 , 0 , 157 , 1 , 555 , 33144 , 1 , 132 , 0 , 2053 , 0 , 2 , 430 , 1 , 38 , 11679 , 89 , 0 , 90 , 12 , 87 , 33 , 48772
0 , 7 , 0 , 0 , 0 , 0 , 59 , 0 , 1665 , 1 , 3 , 39 , 0 , 1 , 0 , 16 , 0 , 0 , 23 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 17 , 0 , 137
0 , 1 , 0 , 1 , 0 , 0 , 2233 , 0 , 543 , 27 , 2336 , 5346 , 0 , 48 , 0 , 1220 , 0 , 1 , 14 , 1 , 11 , 1 , 2 , 0 , 35 , 96 , 153 , 3 , 11417
0 , 6 , 0 , 0 , 0 , 0 , 64 , 0 , 698 , 3 , 46 , 254 , 2 , 21 , 0 , 443 , 1 , 1 , 43 , 1 , 3 , 1 , 40 , 0 , 15 , 67 , 153 , 20 , 1092
1 , 7 , 0 , 0 , 0 , 0 , 1096 , 0 , 505 , 4 , 1090 , 5101 , 2 , 105 , 0 , 586 , 2 , 13 , 63 , 1 , 12 , 10 , 69 , 0 , 78 , 11 , 241 , 26 , 8236
0 , 1 , 0 , 0 , 0 , 0 , 201 , 0 , 501 , 0 , 15 , 197 , 3 , 127 , 0 , 52 , 0 , 5 , 74 , 1 , 35 , 0 , 6 , 4 , 80 , 15 , 14 , 0 , 500
0 , 3 , 0 , 0 , 0 , 13 , 1628 , 0 , 446 , 13 , 202 , 1047 , 0 , 19 , 0 , 1014 , 1 , 0 , 108 , 1 , 0 , 18 , 85 , 0 , 19 , 44 , 275 , 30 , 4370
0 , 1 , 0 , 0 , 0 , 0 , 307 , 0 , 827 , 1 , 26 , 386 , 1 , 27 , 0 , 133 , 0 , 0 , 11 , 0 , 5 , 1 , 0 , 2 , 19 , 0 , 13 , 0 , 867
0 , 1 , 0 , 0 , 0 , 0 , 24 , 0 , 4 , 0 , 2 , 30 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 46 , 0 , 110
0 , 1 , 0 , 3 , 0 , 62 , 686 , 1 , 766 , 0 , 1490 , 858 , 3 , 174 , 0 , 580 , 3 , 8 , 7 , 0 , 70 , 66 , 167 , 0 , 89 , 632 , 162 , 129 , 4835
0 , 1 , 0 , 0 , 0 , 0 , 33 , 0 , 158 , 0 , 9 , 51 , 0 , 0 , 0 , 53 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 103 , 0 , 253
