@relation ../Data/13/2006

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
6 , 4 , 0 , 1 , 0 , 2 , 2487 , 0 , 246 , 6 , 1357 , 7735 , 0 , 79 , 0 , 1231 , 0 , 1 , 222 , 1 , 5 , 1 , 301 , 2 , 70 , 102 , 290 , 118 , 13630
1 , 1 , 0 , 1 , 0 , 0 , 447 , 0 , 242 , 6 , 136 , 1721 , 1 , 138 , 0 , 258 , 0 , 12 , 48 , 1 , 19 , 1 , 8 , 4 , 101 , 64 , 170 , 1 , 2812
26 , 1 , 0 , 0 , 0 , 1 , 677 , 0 , 225 , 20 , 264 , 1273 , 1 , 49 , 0 , 428 , 0 , 8 , 45 , 1 , 13 , 13 , 128 , 0 , 27 , 136 , 119 , 35 , 3094
15 , 1 , 0 , 1 , 0 , 0 , 365 , 0 , 314 , 2 , 152 , 2215 , 0 , 56 , 0 , 383 , 0 , 5 , 84 , 1 , 7 , 65 , 76 , 4 , 39 , 31 , 133 , 15 , 3437
1 , 1 , 0 , 0 , 0 , 0 , 271 , 0 , 827 , 22 , 1240 , 7259 , 1 , 145 , 0 , 698 , 1 , 5 , 570 , 1 , 16 , 221 , 432 , 1 , 122 , 236 , 415 , 38 , 10833
9 , 1 , 0 , 1 , 0 , 0 , 9 , 0 , 361 , 0 , 22 , 108 , 0 , 23 , 0 , 18 , 0 , 0 , 51 , 1 , 6 , 0 , 1 , 0 , 16 , 3 , 0 , 1 , 162
7 , 1 , 0 , 0 , 0 , 0 , 255 , 0 , 278 , 4 , 304 , 1137 , 2 , 50 , 0 , 160 , 0 , 1 , 14 , 1 , 6 , 2 , 11 , 2 , 39 , 16 , 146 , 13 , 2048
64 , 8 , 0 , 0 , 0 , 1 , 971 , 0 , 102 , 0 , 831 , 1472 , 3 , 185 , 0 , 1599 , 0 , 3 , 5 , 1 , 126 , 0 , 2 , 0 , 53 , 225 , 117 , 5 , 5223
1 , 1 , 0 , 5 , 0 , 11 , 231 , 0 , 328 , 2 , 187 , 808 , 6 , 185 , 4 , 115 , 0 , 23 , 32 , 1 , 100 , 53 , 2 , 1 , 46 , 97 , 49 , 1 , 1556
17 , 2 , 0 , 0 , 0 , 0 , 245 , 0 , 467 , 2 , 465 , 1792 , 1 , 159 , 0 , 457 , 0 , 11 , 77 , 1 , 18 , 3 , 34 , 4 , 125 , 48 , 33 , 29 , 3108
