@relation ../Data/13/2011

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
12 , 39 , 0 , 1 , 0 , 0 , 1644 , 0 , 1637 , 27 , 130 , 1624 , 6 , 93 , 0 , 1149 , 0 , 2 , 162 , 1 , 28 , 59 , 220 , 4 , 52 , 329 , 121 , 229 , 5532
3 , 10 , 0 , 0 , 0 , 0 , 1291 , 0 , 653 , 2 , 75 , 1500 , 2 , 23 , 0 , 132 , 0 , 0 , 18 , 1 , 4 , 1 , 2 , 0 , 17 , 3 , 80 , 4 , 3090
0 , 21 , 0 , 0 , 0 , 54 , 112 , 0 , 1609 , 2 , 1145 , 994 , 0 , 12 , 0 , 136 , 0 , 0 , 214 , 1 , 5 , 0 , 11 , 0 , 7 , 29 , 66 , 12 , 2561
0 , 82 , 0 , 1 , 0 , 0 , 1194 , 0 , 2290 , 71 , 771 , 2419 , 4 , 13 , 0 , 2395 , 0 , 1 , 22 , 1 , 3 , 14 , 362 , 0 , 4 , 852 , 1794 , 622 , 10494
5 , 56 , 0 , 2 , 0 , 1 , 466 , 0 , 1503 , 44 , 393 , 5640 , 25 , 175 , 1 , 449 , 1 , 23 , 197 , 1 , 37 , 76 , 480 , 1 , 86 , 149 , 452 , 242 , 8393
150 , 55 , 0 , 0 , 0 , 0 , 2907 , 1 , 1268 , 1 , 375 , 3900 , 6 , 163 , 0 , 735 , 0 , 1 , 37 , 1 , 30 , 0 , 5 , 11 , 114 , 97 , 24 , 0 , 8044
1 , 28 , 0 , 3 , 0 , 0 , 903 , 0 , 1301 , 0 , 243 , 1943 , 2 , 156 , 0 , 341 , 0 , 1 , 139 , 1 , 24 , 0 , 4 , 10 , 116 , 18 , 134 , 0 , 3586
2 , 285 , 0 , 1 , 1 , 0 , 2416 , 0 , 427 , 80 , 452 , 3596 , 1 , 68 , 0 , 861 , 1 , 0 , 79 , 1 , 13 , 4 , 46 , 6 , 47 , 304 , 88 , 23 , 7872
3 , 35 , 0 , 0 , 1 , 6 , 1799 , 0 , 1283 , 3 , 321 , 1425 , 0 , 10 , 0 , 2606 , 2 , 0 , 87 , 1 , 3 , 10 , 46 , 0 , 7 , 103 , 420 , 7 , 6749
52 , 6 , 0 , 0 , 0 , 1 , 9642 , 0 , 1360 , 63 , 925 , 18872 , 0 , 60 , 0 , 2948 , 2 , 3 , 807 , 1 , 4 , 23 , 68 , 0 , 53 , 33 , 390 , 390 , 33357
18 , 11 , 0 , 0 , 0 , 1 , 337 , 0 , 2142 , 0 , 190 , 500 , 4 , 110 , 0 , 159 , 0 , 1 , 92 , 1 , 17 , 0 , 130 , 0 , 88 , 13 , 31 , 20 , 1381
0 , 25 , 0 , 0 , 0 , 0 , 186 , 0 , 1749 , 5 , 265 , 866 , 1 , 73 , 0 , 263 , 0 , 5 , 65 , 1 , 11 , 1 , 4 , 0 , 56 , 31 , 45 , 2 , 1668
