@relation ../Data/13/2010

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
3 , 148 , 0 , 0 , 0 , 139 , 7303 , 0 , 1912 , 37 , 3739 , 10488 , 0 , 1 , 0 , 3492 , 69 , 0 , 818 , 0 , 0 , 26 , 2462 , 0 , 1 , 1332 , 1429 , 701 , 31217
2 , 11 , 0 , 0 , 3 , 1 , 33894 , 0 , 720 , 15 , 932 , 39950 , 0 , 12 , 0 , 1984 , 4 , 0 , 2 , 1 , 2 , 28 , 66 , 0 , 10 , 31 , 625 , 5 , 77538
0 , 99 , 0 , 1 , 0 , 3 , 14649 , 0 , 811 , 22 , 882 , 21249 , 1 , 42 , 0 , 2066 , 0 , 0 , 170 , 1 , 5 , 64 , 51 , 0 , 35 , 17 , 581 , 9 , 39593
2 , 49 , 0 , 3 , 0 , 0 , 11072 , 1 , 918 , 15 , 249 , 11425 , 0 , 130 , 0 , 1128 , 1 , 2 , 26 , 1 , 16 , 16 , 36 , 7 , 101 , 24 , 428 , 8 , 24402
0 , 1 , 0 , 0 , 0 , 0 , 9 , 0 , 1354 , 0 , 57 , 148 , 0 , 1 , 0 , 13 , 0 , 0 , 1 , 0 , 0 , 0 , 2 , 0 , 1 , 2 , 69 , 0 , 300
9 , 106 , 0 , 0 , 0 , 0 , 2639 , 0 , 539 , 0 , 361 , 2470 , 4 , 67 , 0 , 919 , 0 , 3 , 36 , 1 , 15 , 6 , 13 , 0 , 45 , 30 , 316 , 22 , 6776
2 , 4 , 0 , 0 , 0 , 0 , 54 , 0 , 1009 , 1 , 77 , 1004 , 14 , 119 , 0 , 135 , 0 , 4 , 474 , 1 , 80 , 0 , 14 , 1 , 20 , 6 , 159 , 27 , 1477
30 , 36 , 0 , 0 , 0 , 0 , 233 , 0 , 1305 , 6 , 202 , 637 , 0 , 34 , 0 , 102 , 0 , 5 , 21 , 0 , 9 , 1 , 5 , 1 , 19 , 10 , 10 , 3 , 1209
0 , 18 , 0 , 0 , 1 , 0 , 256 , 0 , 217 , 80 , 9 , 291 , 0 , 0 , 0 , 63 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 23 , 0 , 726
4 , 17 , 0 , 0 , 0 , 0 , 1326 , 0 , 1086 , 43 , 2507 , 10618 , 0 , 6 , 0 , 186 , 1 , 0 , 37 , 0 , 5 , 0 , 102 , 0 , 1 , 17 , 633 , 24 , 15457
0 , 1 , 0 , 0 , 0 , 0 , 49 , 0 , 560 , 0 , 9 , 1100 , 0 , 12 , 0 , 43 , 0 , 3 , 111 , 0 , 7 , 0 , 12 , 0 , 2 , 0 , 78 , 0 , 1291
0 , 13 , 0 , 0 , 0 , 0 , 110 , 0 , 606 , 0 , 356 , 630 , 2 , 22 , 0 , 21 , 0 , 2 , 253 , 0 , 2 , 0 , 17 , 3 , 13 , 6 , 15 , 3 , 1158
110 , 22 , 0 , 0 , 5 , 3 , 855 , 0 , 1890 , 8 , 419 , 6775 , 7 , 183 , 0 , 2055 , 1 , 0 , 865 , 0 , 65 , 124 , 39 , 3 , 108 , 101 , 258 , 18 , 10661
20 , 97 , 0 , 0 , 0 , 3 , 509 , 0 , 2107 , 11 , 841 , 2434 , 0 , 3 , 0 , 206 , 8 , 0 , 29 , 0 , 1 , 1 , 28 , 0 , 2 , 92 , 224 , 21 , 4378
0 , 2 , 0 , 0 , 0 , 0 , 2 , 0 , 172 , 0 , 0 , 125 , 0 , 3 , 0 , 4 , 0 , 0 , 8 , 0 , 1 , 0 , 0 , 0 , 2 , 0 , 23 , 0 , 154
0 , 17 , 0 , 0 , 0 , 0 , 34 , 0 , 79 , 22 , 1 , 66 , 0 , 0 , 0 , 39 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 30 , 0 , 192
33 , 15 , 0 , 0 , 0 , 0 , 400 , 0 , 1473 , 0 , 228 , 2011 , 16 , 72 , 5 , 1536 , 0 , 6 , 194 , 0 , 19 , 0 , 2 , 0 , 26 , 127 , 191 , 7 , 4502
2 , 30 , 0 , 2 , 0 , 1 , 120 , 0 , 1119 , 6 , 73 , 1666 , 2 , 150 , 0 , 333 , 0 , 8 , 480 , 0 , 21 , 2 , 7 , 2 , 115 , 24 , 52 , 19 , 2303
0 , 2 , 0 , 0 , 0 , 0 , 8 , 0 , 1185 , 0 , 1 , 28 , 0 , 0 , 0 , 33 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 70
0 , 2 , 0 , 1 , 0 , 0 , 22 , 0 , 1024 , 0 , 17 , 41 , 1 , 18 , 0 , 46 , 0 , 0 , 2 , 0 , 8 , 0 , 0 , 1 , 7 , 4 , 15 , 2 , 147
0 , 2 , 0 , 1 , 1 , 14 , 1179 , 1 , 1560 , 3 , 512 , 2464 , 1 , 168 , 0 , 1218 , 0 , 4 , 84 , 0 , 122 , 1 , 0 , 0 , 39 , 197 , 497 , 61 , 6147
0 , 65 , 0 , 1 , 0 , 3 , 32 , 0 , 3036 , 0 , 154 , 507 , 1 , 112 , 0 , 95 , 5 , 13 , 205 , 0 , 33 , 8 , 6 , 1 , 63 , 7 , 7 , 4 , 828
0 , 12 , 0 , 1 , 1 , 1 , 380 , 0 , 168 , 19 , 50 , 473 , 11 , 153 , 0 , 53 , 6 , 13 , 4 , 0 , 23 , 0 , 4 , 1 , 104 , 10 , 24 , 0 , 1021
0 , 34 , 0 , 2 , 1 , 28 , 561 , 0 , 1624 , 6 , 919 , 2223 , 2 , 133 , 0 , 594 , 0 , 20 , 1474 , 0 , 28 , 85 , 908 , 4 , 77 , 223 , 283 , 212 , 6043
0 , 1 , 0 , 0 , 0 , 0 , 38 , 0 , 892 , 0 , 14 , 400 , 0 , 0 , 0 , 15 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 468
8 , 1 , 0 , 1 , 0 , 0 , 292 , 0 , 1871 , 28 , 194 , 1458 , 1 , 21 , 0 , 409 , 1 , 0 , 128 , 0 , 5 , 0 , 23 , 0 , 14 , 28 , 207 , 13 , 2653
0 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 26 , 0 , 1 , 0 , 3 , 119 , 0 , 1633 , 146 , 536 , 3084 , 1 , 4 , 0 , 54 , 5 , 0 , 87 , 0 , 2 , 9 , 49 , 0 , 0 , 42 , 347 , 13 , 4407
14 , 6 , 0 , 0 , 0 , 0 , 735 , 0 , 553 , 0 , 86 , 149 , 0 , 0 , 0 , 145 , 0 , 0 , 5 , 0 , 0 , 0 , 29 , 0 , 0 , 41 , 478 , 1 , 1664
