@relation ../Data/13/2004

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
0 , 1 , 0 , 0 , 0 , 0 , 55 , 0 , 189 , 7 , 95 , 1232 , 0 , 21 , 0 , 227 , 0 , 0 , 129 , 0 , 2 , 5 , 0 , 1 , 18 , 20 , 31 , 0 , 1672
0 , 1 , 0 , 0 , 0 , 0 , 48 , 0 , 277 , 1 , 57 , 953 , 3 , 26 , 0 , 83 , 0 , 3 , 156 , 1 , 9 , 0 , 19 , 0 , 11 , 7 , 47 , 1 , 1216
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 1 , 0 , 0 , 0 , 0 , 14 , 0 , 258 , 0 , 16 , 689 , 0 , 1 , 0 , 6 , 0 , 0 , 97 , 1 , 1 , 0 , 3 , 0 , 0 , 15 , 27 , 0 , 770
0 , 1 , 0 , 0 , 0 , 32 , 66 , 0 , 88 , 2 , 228 , 3103 , 1 , 9 , 0 , 246 , 0 , 0 , 24 , 1 , 1 , 350 , 4 , 0 , 7 , 44 , 24 , 1 , 4100
2 , 1 , 0 , 0 , 0 , 35 , 55 , 0 , 124 , 0 , 202 , 2849 , 1 , 16 , 0 , 171 , 1 , 0 , 81 , 1 , 5 , 266 , 57 , 0 , 10 , 55 , 31 , 34 , 3756
12 , 1 , 0 , 0 , 0 , 0 , 54 , 0 , 99 , 0 , 21 , 1406 , 0 , 9 , 0 , 46 , 0 , 1 , 29 , 1 , 2 , 7 , 0 , 0 , 6 , 1 , 1 , 0 , 1536
0 , 1 , 0 , 0 , 0 , 0 , 18 , 0 , 463 , 0 , 33 , 621 , 0 , 6 , 0 , 16 , 0 , 0 , 84 , 1 , 3 , 0 , 12 , 0 , 3 , 1 , 36 , 0 , 737
10 , 1 , 0 , 0 , 0 , 2 , 157 , 0 , 288 , 0 , 473 , 2140 , 11 , 92 , 4 , 1008 , 0 , 6 , 246 , 1 , 24 , 53 , 73 , 2 , 45 , 231 , 429 , 101 , 4667
0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 583 , 0 , 1 , 137 , 0 , 0 , 0 , 2 , 0 , 0 , 215 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 143
15 , 1 , 0 , 0 , 0 , 2 , 264 , 0 , 109 , 27 , 74 , 1559 , 5 , 48 , 0 , 257 , 2 , 2 , 87 , 1 , 16 , 4 , 1 , 0 , 25 , 21 , 113 , 4 , 2328
5 , 1 , 0 , 0 , 0 , 1 , 114 , 0 , 198 , 13 , 114 , 2368 , 1 , 141 , 1 , 678 , 0 , 3 , 163 , 1 , 14 , 48 , 3 , 1 , 121 , 11 , 414 , 2 , 3766
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 90 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
1 , 1 , 0 , 0 , 0 , 4 , 69 , 0 , 255 , 11 , 102 , 712 , 1 , 22 , 0 , 283 , 0 , 0 , 106 , 1 , 8 , 17 , 2 , 0 , 13 , 32 , 26 , 1 , 1259
0 , 1 , 0 , 0 , 0 , 2 , 136 , 0 , 629 , 0 , 12 , 1775 , 0 , 51 , 0 , 99 , 0 , 1 , 145 , 1 , 5 , 2 , 1 , 0 , 45 , 5 , 181 , 0 , 2213
0 , 1 , 0 , 0 , 0 , 0 , 81 , 0 , 212 , 11 , 405 , 2106 , 0 , 1 , 0 , 24 , 0 , 0 , 52 , 1 , 0 , 0 , 1 , 0 , 1 , 2 , 4 , 0 , 2634
0 , 1 , 0 , 0 , 0 , 0 , 25 , 0 , 185 , 0 , 59 , 1155 , 1 , 76 , 0 , 52 , 0 , 2 , 187 , 1 , 6 , 0 , 1 , 1 , 66 , 0 , 20 , 0 , 1312
0 , 1 , 0 , 0 , 0 , 0 , 11 , 0 , 319 , 0 , 40 , 1055 , 0 , 82 , 0 , 36 , 0 , 6 , 75 , 1 , 25 , 0 , 0 , 0 , 51 , 5 , 28 , 1 , 1176
9 , 1 , 0 , 0 , 0 , 0 , 110 , 0 , 207 , 25 , 138 , 1735 , 1 , 5 , 0 , 75 , 0 , 0 , 69 , 1 , 3 , 10 , 4 , 0 , 1 , 7 , 67 , 1 , 2172
4 , 1 , 0 , 0 , 0 , 3 , 504 , 0 , 251 , 34 , 384 , 5808 , 3 , 171 , 1 , 1527 , 0 , 6 , 771 , 1 , 18 , 53 , 167 , 2 , 141 , 55 , 111 , 9 , 8655
2 , 1 , 0 , 0 , 0 , 5 , 188 , 0 , 128 , 24 , 151 , 2087 , 1 , 38 , 0 , 338 , 0 , 1 , 158 , 1 , 9 , 22 , 3 , 0 , 27 , 103 , 170 , 7 , 3098
