@relation ../Data/13/2009

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
71 , 22 , 0 , 0 , 3 , 2 , 5685 , 0 , 383 , 27 , 221 , 12042 , 0 , 7 , 0 , 741 , 2 , 0 , 68 , 0 , 2 , 5 , 43 , 0 , 5 , 74 , 1374 , 9 , 20228
93 , 51 , 0 , 0 , 1 , 0 , 3189 , 0 , 819 , 1 , 172 , 2519 , 0 , 10 , 1 , 1000 , 0 , 0 , 27 , 0 , 0 , 2 , 70 , 0 , 9 , 80 , 1258 , 135 , 8427
18 , 19 , 0 , 1 , 0 , 0 , 287 , 0 , 688 , 0 , 92 , 876 , 3 , 152 , 0 , 192 , 0 , 9 , 93 , 0 , 8 , 1 , 2 , 7 , 124 , 68 , 36 , 0 , 1554
1 , 1 , 0 , 0 , 5 , 3 , 1032 , 0 , 1912 , 1 , 1245 , 48877 , 2 , 199 , 0 , 2100 , 0 , 0 , 2454 , 0 , 189 , 6 , 72 , 0 , 8 , 351 , 322 , 1 , 54015
50 , 27 , 0 , 1 , 0 , 1 , 1614 , 0 , 1058 , 3 , 55 , 1432 , 1 , 88 , 0 , 293 , 0 , 1 , 196 , 0 , 32 , 6 , 2 , 12 , 41 , 11 , 117 , 0 , 3534
0 , 2 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4
0 , 16 , 0 , 0 , 0 , 0 , 485 , 0 , 497 , 2 , 39 , 450 , 0 , 1 , 0 , 62 , 0 , 0 , 1 , 0 , 0 , 0 , 9 , 0 , 1 , 4 , 102 , 0 , 1153
0 , 4 , 0 , 0 , 0 , 0 , 14 , 0 , 1 , 0 , 11 , 34 , 0 , 0 , 0 , 4 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 7 , 0 , 72
0 , 1 , 0 , 0 , 0 , 0 , 10 , 0 , 74 , 0 , 0 , 12 , 0 , 0 , 0 , 31 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 15 , 0 , 69
0 , 5 , 0 , 0 , 0 , 0 , 54 , 0 , 1 , 0 , 3 , 56 , 0 , 1 , 0 , 23 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 5 , 0 , 141
0 , 2 , 0 , 0 , 0 , 0 , 938 , 0 , 612 , 3 , 298 , 2180 , 0 , 5 , 0 , 200 , 0 , 0 , 89 , 0 , 1 , 1 , 9 , 0 , 4 , 32 , 993 , 2 , 4656
0 , 32 , 0 , 0 , 0 , 0 , 26 , 0 , 576 , 1 , 81 , 497 , 0 , 8 , 0 , 22 , 0 , 0 , 33 , 0 , 3 , 0 , 50 , 0 , 5 , 1 , 45 , 2 , 725
184 , 18 , 0 , 4 , 0 , 31 , 3701 , 0 , 446 , 23 , 852 , 11943 , 3 , 160 , 0 , 1670 , 0 , 3 , 430 , 0 , 52 , 115 , 5561 , 2 , 96 , 439 , 1043 , 1810 , 27188
0 , 1 , 0 , 0 , 0 , 0 , 7 , 0 , 808 , 0 , 41 , 38 , 0 , 1 , 0 , 6 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 92
0 , 14 , 0 , 1 , 0 , 0 , 658 , 0 , 125 , 0 , 160 , 436 , 0 , 112 , 0 , 267 , 0 , 4 , 24 , 0 , 3 , 0 , 0 , 7 , 97 , 8 , 97 , 0 , 1626
3 , 22 , 0 , 0 , 0 , 0 , 326 , 0 , 721 , 1 , 32 , 461 , 14 , 168 , 0 , 287 , 0 , 6 , 50 , 0 , 22 , 0 , 0 , 4 , 122 , 9 , 76 , 0 , 1192
4 , 20 , 0 , 0 , 0 , 1 , 662 , 0 , 811 , 3 , 285 , 486 , 0 , 17 , 1 , 782 , 0 , 2 , 23 , 0 , 3 , 2 , 61 , 0 , 11 , 36 , 252 , 6 , 2576
11 , 38 , 0 , 0 , 0 , 13 , 2543 , 0 , 1004 , 6 , 1922 , 7792 , 6 , 163 , 0 , 1980 , 1 , 9 , 237 , 0 , 28 , 20 , 334 , 0 , 120 , 238 , 77 , 286 , 15212
0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , 154 , 0 , 0 , 6 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 15
