@relation ../Data/13/2005

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
21 , 1 , 0 , 0 , 0 , 0 , 294 , 0 , 412 , 0 , 250 , 2212 , 0 , 61 , 0 , 277 , 0 , 3 , 67 , 0 , 11 , 3 , 8 , 0 , 47 , 2 , 3 , 0 , 3049
0 , 1 , 0 , 0 , 0 , 0 , 7 , 0 , 49 , 0 , 5 , 48 , 2 , 49 , 0 , 12 , 0 , 0 , 4 , 0 , 11 , 0 , 0 , 0 , 36 , 0 , 2 , 0 , 74
0 , 1 , 0 , 0 , 0 , 0 , 66 , 0 , 845 , 2 , 214 , 4273 , 0 , 57 , 0 , 83 , 0 , 3 , 124 , 0 , 11 , 31 , 32 , 0 , 43 , 4 , 203 , 9 , 4917
0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3
0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 17 , 0 , 4 , 20 , 0 , 2 , 0 , 7 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 34
1 , 1 , 0 , 0 , 0 , 0 , 22 , 0 , 162 , 0 , 5 , 86 , 3 , 105 , 0 , 57 , 0 , 15 , 271 , 0 , 45 , 22 , 0 , 3 , 39 , 0 , 8 , 0 , 200
0 , 1 , 0 , 0 , 0 , 0 , 40 , 0 , 665 , 10 , 20 , 2006 , 0 , 8 , 0 , 77 , 0 , 0 , 237 , 0 , 4 , 17 , 65 , 0 , 4 , 0 , 31 , 14 , 2280
2 , 1 , 0 , 0 , 0 , 1 , 81 , 0 , 185 , 0 , 48 , 196 , 0 , 24 , 1 , 101 , 0 , 0 , 43 , 0 , 20 , 0 , 0 , 0 , 3 , 9 , 10 , 16 , 462
2 , 1 , 0 , 0 , 0 , 0 , 237 , 0 , 155 , 20 , 95 , 2152 , 3 , 74 , 0 , 484 , 4 , 3 , 431 , 0 , 19 , 5 , 18 , 0 , 49 , 39 , 193 , 4 , 3251
11 , 1 , 0 , 0 , 0 , 0 , 91 , 0 , 312 , 0 , 103 , 1781 , 1 , 48 , 0 , 308 , 0 , 2 , 316 , 0 , 4 , 175 , 43 , 4 , 37 , 51 , 30 , 2 , 2584
0 , 1 , 0 , 0 , 0 , 0 , 8 , 0 , 408 , 0 , 1 , 435 , 2 , 16 , 0 , 14 , 0 , 0 , 18 , 0 , 2 , 0 , 3 , 0 , 12 , 0 , 2 , 0 , 463
3 , 1 , 0 , 0 , 0 , 0 , 417 , 0 , 427 , 15 , 1416 , 1882 , 1 , 42 , 0 , 209 , 0 , 3 , 47 , 0 , 10 , 0 , 26 , 0 , 28 , 23 , 54 , 6 , 4048
0 , 1 , 0 , 3 , 0 , 1 , 36 , 0 , 244 , 3 , 82 , 1921 , 5 , 193 , 1 , 631 , 0 , 8 , 51 , 0 , 9 , 22 , 63 , 3 , 164 , 9 , 1 , 34 , 2803
0 , 1 , 0 , 0 , 0 , 0 , 76 , 0 , 605 , 2 , 277 , 2136 , 0 , 27 , 0 , 114 , 0 , 4 , 58 , 1 , 4 , 0 , 27 , 0 , 19 , 11 , 59 , 4 , 2706
3 , 1 , 0 , 2 , 0 , 3 , 273 , 0 , 203 , 2 , 82 , 2190 , 2 , 174 , 0 , 186 , 0 , 13 , 471 , 1 , 75 , 101 , 0 , 0 , 82 , 7 , 137 , 0 , 2981
50 , 1 , 0 , 0 , 0 , 0 , 709 , 0 , 128 , 0 , 108 , 3963 , 2 , 101 , 0 , 598 , 0 , 4 , 718 , 1 , 9 , 0 , 5 , 0 , 86 , 15 , 50 , 8 , 5456
30 , 1 , 0 , 3 , 0 , 1 , 94 , 0 , 314 , 302 , 97 , 9493 , 2 , 88 , 1 , 295 , 0 , 3 , 1051 , 1 , 56 , 2358 , 201 , 2 , 21 , 7 , 194 , 3 , 13045
0 , 1 , 0 , 0 , 0 , 0 , 571 , 0 , 529 , 0 , 202 , 3518 , 1 , 74 , 0 , 1113 , 0 , 2 , 200 , 1 , 31 , 3 , 3 , 0 , 40 , 1 , 94 , 25 , 5530
0 , 1 , 0 , 1 , 0 , 1 , 42 , 0 , 184 , 10 , 120 , 2109 , 1 , 45 , 0 , 330 , 0 , 4 , 540 , 1 , 27 , 37 , 24 , 0 , 12 , 17 , 110 , 23 , 2823
0 , 1 , 0 , 1 , 0 , 1 , 9 , 0 , 451 , 0 , 153 , 696 , 1 , 131 , 0 , 24 , 0 , 5 , 336 , 1 , 45 , 0 , 0 , 0 , 79 , 22 , 5 , 0 , 910
