@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-17,21-26,29-30,32-34,36-41'

@attribute sp_keep_votes numeric
@attribute userfy_votes numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute isSuccessful {1,0}
@attribute keep_votes numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric

@data
0,0,1,21,0,0,5,1,10
0,1,5,167,1,0,40,2,106
0,0,1,35,0,0,9,0,21
0,0,0,8,0,0,1,0,7
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,3,0,16,0,0,8,0,4
0,0,0,0,0,0,0,0,0
0,0,0,30,0,0,6,1,23
0,0,0,12,0,0,7,0,5
4,0,0,67,0,0,18,3,40
0,0,0,1,0,0,1,0,0
1,1,2,31,0,0,9,7,11
0,0,0,12,1,0,0,0,11
0,0,0,39,0,0,5,0,33
0,0,2,47,0,0,15,0,26
0,2,10,163,0,0,3,13,134
1,0,11,90,0,0,17,3,48
0,0,5,193,0,0,32,0,152
2,0,3,65,0,0,8,5,47
0,0,2,160,0,0,45,6,102
0,0,1,120,0,1,14,4,96
0,0,10,184,0,1,16,4,151
0,0,0,152,1,1,5,2,144
1,0,3,119,0,1,11,1,90
1,0,4,186,0,1,41,7,128
1,0,1,84,0,1,8,1,66
1,0,1,38,0,1,16,1,19
0,0,0,0,0,1,0,0,0
0,0,0,6,0,1,2,0,3
0,0,0,22,0,1,7,0,15
0,0,1,49,0,1,8,4,34
0,0,0,15,0,1,0,0,15
1,0,1,18,0,0,8,1,7
1,1,1,168,0,0,122,0,39
1,0,1,112,0,0,33,1,63
1,0,11,153,0,0,23,1,104
2,0,2,133,0,0,28,4,77
0,0,0,0,0,0,0,0,0
1,0,1,21,0,0,5,0,14
0,0,0,0,0,0,0,0,0
1,0,1,4,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,3,0,0
0,0,0,2,0,0,0,0,2
0,0,0,8,0,0,2,0,6
0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,3,0,2
4,0,1,131,1,0,26,4,81
1,0,0,95,0,0,1,3,88
0,0,0,32,0,0,5,2,22
3,1,2,125,0,0,28,2,85
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,2,0,0,1,0,1
0,0,0,9,0,0,1,0,7
0,0,0,0,0,0,0,0,0
0,0,2,4,0,0,2,0,0
2,0,1,52,0,0,31,2,16
0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,4,0,2
0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,1,0,3
3,0,10,121,0,1,20,3,83
0,0,0,27,0,1,19,0,7
0,0,3,42,1,1,15,0,20
0,0,0,3,0,1,3,0,0
1,0,13,115,0,1,7,2,86
0,0,3,40,0,1,3,1,30
0,0,7,81,0,1,22,1,49
2,0,3,190,0,1,37,1,140
0,0,0,39,0,1,2,0,37
0,0,2,62,0,1,2,1,52
0,0,0,42,0,1,9,0,32
0,0,1,39,0,1,3,0,34
0,0,0,4,0,1,1,0,3
0,0,1,198,0,1,192,0,0
1,0,3,115,0,1,29,1,79
0,0,0,122,0,1,31,0,90
0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0
0,0,0,7,0,1,2,0,4
0,0,1,77,0,1,7,3,66
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
