@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R2-11,13-26,28-32,34-40'

@attribute revert_edits numeric
@attribute minor_edits numeric
@attribute isSuccessful {1,0}
@attribute nonminor_edits numeric
@attribute large_edits numeric

@data
50,2459,1,2930,540
0,0,1,0,0
78,3486,1,5595,2691
362,3402,1,6625,1957
555,5367,1,12261,2153
64,4058,1,4782,1289
346,9099,1,10337,2857
2873,10023,1,21794,8015
254,3321,1,5783,3307
756,2823,1,11888,2673
201,9646,1,3188,1877
1365,1876,1,9680,3246
83,976,1,2425,584
0,0,1,0,0
869,3276,1,7076,2017
523,5106,1,14391,6446
123,1098,1,7577,1369
45,5189,1,4290,1041
126,6051,1,7733,4694
89,2243,1,6295,2287
75,1853,1,5915,1447
559,5565,1,23333,12789
253,1230,1,2860,1078
163,4080,1,2997,1454
422,9085,1,6717,2150
173,3811,1,7274,2886
375,1419,1,5150,1173
39,543,1,2861,882
121,1806,1,3226,1347
12,3740,1,1061,220
0,0,1,0,0
2139,12600,1,15685,4113
346,3479,1,4344,1357
768,2769,1,8563,1777
117,1180,1,3282,1321
22,111,0,890,132
1,10,0,520,38
74,662,0,2835,1167
15,1097,0,1593,767
24,4504,0,4786,560
0,5,0,51,4
0,0,0,0,0
0,1,0,10,2
3,1013,0,452,52
1,31,0,315,9
19,426,0,2794,226
102,81,0,598,118
2,2,0,40,3
21,50,0,1465,171
0,0,0,0,0
1486,24447,0,21660,15616
242,2973,0,5525,2815
127,2365,0,10200,5796
6,30,0,358,70
0,0,0,0,0
0,0,0,0,0
6,54,0,34111,553
0,0,0,0,0
1076,8473,0,12397,5787
120,974,0,1225,170
0,0,0,12,1
76,270,0,1169,188
110,1876,0,2174,784
5,10,0,132,27
192,1572,1,11012,2092
80,3028,1,4396,986
644,17727,1,13317,8896
92,448,1,4381,981
2757,17697,1,19365,11241
494,3235,1,6098,773
235,5413,1,5652,4230
0,0,1,0,0
8,2248,1,1050,705
0,9901,1,134,87
104,8844,1,2216,1138
172,6232,1,7366,4334
386,664,1,5126,1313
275,2137,1,21090,1272
113,350,1,2106,267
12,257,1,2771,749
2295,133,1,7022,1883
75,1077,1,12772,2036
295,1723,1,9774,1902
49,6081,1,12097,1250
228,1511,1,3162,1739
52,2075,1,3723,1068
0,0,1,0,0
9,265,1,3211,395
65,10330,1,14072,1676
142,2395,1,3589,1606
0,0,1,0,0
354,907,1,10229,1257
485,1960,1,20697,2012
91,13,1,19604,2605
267,1543,1,4925,2139
0,0,1,0,0
207,13240,1,10370,3007
185,5048,1,3602,1843
326,6424,1,30883,5847
2689,10319,1,9692,2573
1226,2018,1,12525,4477
621,58,1,7698,1427
0,0,1,0,0
129,106,1,5433,1006
278,3427,1,14318,1757
266,2087,1,6908,2703
163,11297,1,8779,2327
312,11581,1,6843,4258
62,41804,1,5736,3423
528,6260,1,9818,395
421,3595,1,26573,1267
155,2260,1,3478,1537
0,0,1,2,2
244,1644,1,32970,2789
229,245,1,6783,2362
337,327,1,16893,1958
1255,1353,1,7598,1984
350,27319,1,35497,10110
3605,105,1,7520,1348
29,6288,1,7241,1981
14,1093,1,2765,940
0,0,1,0,0
7,3065,1,375,264
171,2560,1,3764,714
184,769,1,14170,1734
93,1424,1,11226,2326
102,693,1,1668,648
42,598,1,4457,910
316,20692,1,23673,1027
26,312,1,978,241
142,7590,1,9575,1197
99,184,1,4129,1023
319,1802,1,9860,1589
395,4089,1,9353,4045
133,5980,1,4482,2588
17,6489,1,1697,457
0,740,1,644,263
2,992,1,456,101
4,1273,1,209,120
11,841,1,2844,418
77,2484,1,10676,3783
99,165,1,7941,626
76,802,1,1556,236
536,8173,1,13609,4807
1176,358,1,4562,1193
431,4135,1,2273,224
133,585,1,1284,397
0,0,0,39,10
233,168,0,1049,84
0,11,0,126,18
109,679,0,1280,648
3,27,0,446,40
0,73,0,50,9
1,93,0,722,34
547,1247,0,7006,878
16,735,0,3870,346
66,674,0,3136,321
1,26,0,998,67
0,0,0,14,5
1,60,0,1127,98
1875,1919,0,6112,1471
24,1501,0,3626,208
3,476,0,4003,168
3,269,0,2511,299
25,602,0,1595,288
0,2,0,160,36
0,0,0,0,0
147,203,0,792,71
33,314,0,942,197
98,695,0,580,136
0,0,0,22,1
0,0,0,463,33
7,178,0,895,153
4,19707,0,2787,97
34,102,0,2848,772
37,6583,0,20663,1434
278,184,0,4632,923
2,792,0,1803,321
0,5,0,207,12
27,2065,0,1085,270
8,117,0,2855,313
51,678,0,2363,158
18,426,0,652,49
16,66,0,757,37
4,200,0,377,44
6,42,0,445,28
11,1592,0,4620,597
0,2,0,8,2
0,0,0,0,0
9,1680,0,892,227
1,1710,0,50,5
0,25,0,794,13
2,668,0,2376,297
472,7313,0,4815,936
2,103,0,917,73
6,717,0,1834,510
0,2,0,34,15
1,281,0,1731,66
2,159,0,472,62
7,935,0,1186,94
0,6,0,33,4
0,51,0,15,3
193,427,0,3026,868
2,12,0,240,28
78,3538,0,12140,1489
28,485,0,1485,310
12,546,0,1139,245
14,2870,0,5225,840
64,338,0,3358,428
6,659,0,2047,281
147,55776,0,25078,1975
1,2842,0,167,63
95,108,0,1137,220
1,301,0,1369,151
182,655,0,1707,407
33,230,0,2370,255
9,110,0,957,140
17,6583,0,2790,509
32,1612,0,8768,1758
0,0,0,10,1
950,4,0,2077,69
0,2,0,103,16
2,810,0,1297,163
22,391,0,1348,150
116,571,0,2394,484
1,2,0,384,37
0,0,0,29,1
120,326,0,2258,688
7,1998,0,1712,602
