@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-18,20-25,28-31,33-35,37-39,41'

@attribute accounts numeric
@attribute votes numeric
@attribute days_active numeric
@attribute total_afd_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1,0}
@attribute edits_per_day numeric
@attribute images_uploaded numeric
@attribute total_edits numeric

@data
51,4,2590,157,236,1,4.4,31,11567
30,0,730,149,89,1,24,7,17911
54,8,1118,160,294,1,1.2,15,1386
53,98,1221,31,43,1,8.3,5,10193
67,38,634,81,138,1,22,0,14164
2,0,980,36,987,1,6.8,29,6735
140,9,2114,10,81,1,11,16,23365
24,10,1008,19,21,1,2.9,2,3018
74,43,969,38,211,1,7.8,5,7583
2,0,1894,84,2261,1,8.1,4,15426
48,40,1082,60,27,1,3.7,3,4029
1,0,378,2,2,0,5.6,0,2149
23,0,249,2,0,0,0.5,0,144
671,11,30,1,0,0,0,0,0
3,0,369,0,0,0,0,0,0
21,0,996,1,34,0,3.6,2,3633
3,0,751,0,1,0,0,0,14
5,0,6,0,0,0,14,0,87
66,25,891,0,1163,0,41,695,37104
13,0,24,0,0,0,0.8,0,20
22,1,902,27,3,0,1.5,0,1364
97,38,754,21,46,0,8.8,0,6684
18,92,1557,167,146,0,2.7,16,4250
34,25,2346,35,180,0,5.4,9,12876
15,0,199,8,6,0,59,0,11902
1,0,85,0,2,0,1.2,0,109
39,0,1994,1,70,0,1,2,2002
11,0,589,0,0,0,0,0,22
19,0,183,16,8,0,4.3,3,794
23,1,564,0,0,0,0,0,0
11,0,719,30,33,0,1.5,0,1080
1,0,2185,12,34,0,0.7,0,1580
1,11,1264,67,8,0,9.9,0,12534
62,0,1203,1,386,0,10,1,12598
650,3,1429,31,20,0,4.4,0,6392
63,93,1312,12,33,0,2,0,2735
28,5,850,39,123,0,9.7,3,8323
2,0,1650,47,4,0,0.6,3,1140
2,0,1612,163,19,0,0.5,9,859
24,0,2823,90,347,0,2.2,41,6436
54,0,1782,193,4062,0,1.4,1,2651
21,3,1018,65,45,0,0.6,1,676
36,0,1029,160,6,0,9.3,53,9657
1,1,1476,120,72,1,1.7,0,2598
1,1,533,184,671,1,16,0,8970
1,0,610,152,64,1,3.8,2,2352
1,0,109,119,91,1,68,0,7484
1,0,504,186,205,1,6.2,1,3132
1,0,339,84,46,1,10,0,3458
1,3,296,38,188,1,6.8,4,2020
1,1,152,0,1,1,6.7,0,1027
1,1,501,6,133,1,4.3,7,2192
1,0,764,22,33,1,0.8,0,616
1,0,451,49,77,1,4.6,1,2119
1,0,540,15,225,1,14,0,7817
2,0,1024,18,2,0,0.1,0,147
2,0,1560,168,84,0,3.9,2,6147
65,0,3036,112,205,0,0.2,0,828
12,0,168,153,4,0,6,6,1021
34,0,1624,133,1474,0,3.7,8,6043
1,0,892,0,4,0,0.5,2,468
1,8,1871,21,128,0,1.4,17,2653
7,0,0,0,0,0,0,0,0
26,0,1633,4,87,0,2.6,112,4407
6,14,553,0,5,0,3,0,1664
39,17,522,3,198,0,6.9,0,3613
55,9,919,2,4,0,26,6,23966
24,0,230,8,11,0,13,49,3121
0,0,0,0,0,0,0,0,0
29,55,233,5,39,0,282,0,65736
1,2,1194,131,41,0,3.4,3,4127
17,1,1153,95,9,0,2.7,1,3192
16,44,2211,32,53,0,3.2,1,7131
41,76,1148,125,43,0,4.2,2,4827
1,0,18,0,0,0,1.9,0,35
19,33,351,1,96,0,28,6,10158
1,0,687,2,295,0,2.7,24,1889
10,1,39,9,3,0,16,0,644
7,0,0,0,0,0,0,1,0
3,0,1079,4,1,0,6,17,6495
14,3,826,52,53,0,6.9,15,5774
15,0,37,0,19,0,9.7,0,359
23,0,459,6,99,0,5.8,6,2692
11,0,420,0,0,0,0,0,16
18,0,295,6,10,0,3.3,7,987
38,9,1089,121,78,1,10,3,11364
17,56,218,27,102,1,9.9,1,2162
84,8,568,42,276,1,4.1,9,2338
1,5,921,3,10,1,10,3,10064
62,5,1253,115,63,1,1.3,6,1687
34,42,1432,40,101,1,3.9,0,5625
41,3,527,81,275,1,10,9,5348
24,54,1088,190,3,1,4.3,0,4787
45,9,296,39,65,1,13,6,3999
1,14,765,62,212,1,19,5,15078
40,0,1768,42,9664,1,41,42,73192
39,0,523,39,91,1,3,0,1577
457,0,1209,4,499,1,5.8,0,7076
1,1,1160,198,1214,1,5.3,1,6166
64,3,409,115,205,1,8,33,3282
67,0,1523,122,54,1,7.4,0,11281
31,46,487,1,172,1,14,2,7007
15,57,0,0,0,1,0,0,0
15,3,664,7,25,1,1,10,673
421,0,1312,77,301,1,15,0,20373
612,0,766,0,77,1,3.1,0,2430
21,0,0,0,0,1,0,0,0
37,1,1344,166,125,1,4.4,10,6023
15,2,1022,181,26,1,0.5,1,553
39,1,395,0,0,1,0,0,0
43,0,1285,111,167,1,7.2,5,9259
50,0,940,53,153,1,6,0,5678
62,2,163,34,64,1,89,11,14528
68,0,1335,119,138,1,5.4,14,7266
19,18,841,152,111,1,22,0,18699
2,72,839,76,157,1,32,70,27009
12,94,538,20,269,1,17,3,9159
50,2,1056,134,101,1,14,7,15132
46,50,1138,88,257,1,5.6,43,6458
32,5,801,23,15,1,14,14,11318
