@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,11-14,18-20,23-26,28,31-36,41-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1,9'

@attribute user_talk_edits numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute isSuccessful {1,0}
@attribute template_edits numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric

@data
3439,3,2905,16449,2099,0,1,19,116,121,2
2289,27,498,3620,877,1,1,515,76,481,75
0,0,0,0,0,0,1,0,0,0,0
325,0,69,788,115,0,1,0,21,38,31
1920,116,562,1872,1325,101,1,186,277,179,40
9161,67,1340,9080,5457,3,1,857,389,665,265
1200,3,147,1344,746,0,1,5,116,159,40
1594,16,268,14947,652,4,1,768,207,44,13
1708,44,197,2672,982,0,1,7,23,95,13
347,2,1006,7595,679,1,1,5671,1663,723,1008
1357,5,342,1827,1239,1,1,73,100,259,22
1955,14,562,1645,631,0,1,17,247,293,7
2639,0,361,2470,919,0,1,13,30,316,22
7026,272,1079,8181,11545,0,1,3,660,1707,253
1711,0,106,945,1066,0,1,1,12,77,0
955,0,335,1623,94,0,1,0,15,26,0
3498,0,2636,6938,649,0,1,19,181,124,12
235,5,153,518,118,0,1,3,11,26,2
9709,45,562,9856,2772,4,1,68,173,413,35
2198,32,3129,26352,1068,4,1,1471,1081,1403,1037
859,6,164,1038,288,1,1,77,67,639,20
1019,14,872,3478,565,8,1,31,151,376,45
1648,23,4912,10586,551,2,1,155,149,194,47
1284,1,232,955,489,0,1,37,35,58,3
2823,41,1329,4778,2091,4,1,63,239,175,5
6644,35,931,8289,1309,9,1,43,85,544,9
210,2,131,714,148,0,1,17,30,36,98
3084,10,652,2793,2139,3,1,138,452,891,29
6145,0,329,4290,2755,0,1,4,445,192,1
743,17,521,2793,1038,1,1,262,211,446,583
3221,5010,1346,6460,6459,3,1,57,113,659,16
1164,2,196,657,845,0,1,5,59,70,20
1922,223,858,3274,536,7,1,112,126,515,8
1797,3,1610,9654,594,2,1,73,381,596,53
1263,8,263,1075,395,0,1,15,196,760,51
945,3,10,862,46,0,0,22,12,244,3
53,0,0,57,23,0,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
208,1,213,2808,60,0,0,290,14,36,0
0,0,0,9,5,0,0,0,0,0,0
13,0,0,2,8,0,0,1,1,62,0
3668,2174,1480,23783,3398,598,0,787,189,590,107
11,0,0,3,4,0,0,0,0,2,0
640,2,27,526,95,4,0,3,2,60,0
1702,0,443,2303,1317,0,0,55,322,366,171
1205,15,77,1667,688,0,0,119,32,441,1
2870,11,1299,4988,2292,4,0,178,395,466,141
5808,4,102,5082,749,1,0,40,21,93,1
11,0,1,69,20,0,0,0,0,8,0
149,6,120,1563,51,1,0,25,1,84,2
0,0,6,10,6,0,0,0,0,0,0
350,5,130,188,32,0,0,0,25,63,1
0,0,0,0,0,0,0,0,0,0,0
138,0,75,386,150,0,0,2,207,122,0
55,0,142,1176,8,0,0,0,1,197,0
2347,0,1510,6779,1544,0,0,7,63,277,1
405,1,5359,4399,680,1,0,378,525,554,147
2087,1,183,2774,1020,0,0,10,31,286,0
936,1,23,923,462,0,0,2,46,335,5
3748,7,123,3628,576,0,0,50,24,30,132
350,10,204,416,94,1,0,3,25,37,0
55,10,143,247,249,0,0,39,18,87,1
473,28,1497,2944,757,4,0,132,323,223,54
193,0,172,1590,379,0,0,92,148,15,34
207,0,57,135,245,0,0,0,23,3,5
4366,18,172,4600,386,0,0,8,9,91,0
332,0,226,1469,270,0,1,0,0,297,0
231,0,358,6392,1782,0,1,3,52,148,4
291,12,27,1135,392,0,1,33,87,364,9
785,0,47,1521,4506,0,1,109,425,31,31
711,1,400,1700,287,0,1,10,10,4,0
546,3,90,1622,1070,0,1,23,37,67,0
130,2,397,1317,62,0,1,11,34,48,3
111,0,354,528,24,0,1,0,0,10,0
229,23,207,1301,209,0,1,23,84,105,5
74,0,233,276,28,0,1,0,0,5,0
232,4,77,976,668,0,1,55,68,37,1
715,0,66,5580,611,0,1,163,227,184,5
22,0,17,41,46,0,0,0,4,15,2
1179,3,512,2464,1218,0,0,0,197,497,61
32,0,154,507,95,5,0,6,7,7,4
380,19,50,473,53,6,0,4,10,24,0
561,6,919,2223,594,0,0,908,223,283,212
38,0,14,400,15,0,0,0,0,1,0
292,28,194,1458,409,1,0,23,28,207,13
0,0,0,0,0,0,0,0,0,0,0
119,146,536,3084,54,5,0,49,42,347,13
735,0,86,149,145,0,0,29,41,478,1
1046,0,104,1767,438,0,0,5,36,214,2
10426,7,53,12244,1066,2,0,20,21,124,0
1284,9,65,1496,155,0,0,1,14,97,0
0,0,0,0,0,0,0,0,0,0,0
29157,14,529,31777,2679,1,0,79,102,1309,63
1759,3,51,1318,852,0,0,3,26,115,0
834,3,526,723,391,0,0,16,106,589,2
2242,2,203,3822,553,0,0,15,175,111,4
1218,3,629,1546,582,3,0,26,45,760,8
3,0,0,15,5,0,0,0,0,12,0
2563,10,419,4767,1166,0,0,127,187,421,498
104,1,36,1574,73,0,0,52,11,33,5
86,0,43,199,228,0,0,3,31,54,0
0,0,0,0,0,0,0,0,0,0,0
849,51,662,2423,662,0,0,0,8,1803,37
1019,24,838,2348,674,3,0,59,176,491,140
15,0,2,303,10,0,0,1,1,27,0
92,20,15,2193,37,0,0,23,18,99,0
7,0,0,6,3,0,0,0,0,0,0
339,1,287,109,78,0,0,8,110,55,0
2532,7,1956,4710,1394,0,1,98,368,234,62
326,1,148,1420,181,0,1,4,11,26,41
100,0,222,1671,140,0,1,35,28,57,23
3296,0,284,6057,237,0,1,6,3,179,0
440,16,121,563,211,0,1,88,183,55,9
1268,14,637,2380,925,7,1,46,186,134,14
1248,14,732,1953,724,0,1,141,23,378,69
876,2,887,1180,1662,0,1,2,127,50,0
1513,10,218,802,486,0,1,320,111,158,381
4168,10,2695,5498,2241,0,1,11,236,191,25
807,134,6797,45517,1929,28,1,4563,795,1814,1239
25,0,91,1315,59,0,1,4,38,44,0
920,1,338,3454,896,4,1,57,303,1021,73
1396,10,779,2443,575,4,1,1,713,236,0
442,57,166,1898,596,0,1,7,30,76,3
4589,5,151,5813,528,0,1,7,37,146,0
1522,4,237,3142,979,0,1,46,313,531,228
0,0,0,0,0,0,1,0,0,0,0
89,1,74,201,140,0,1,5,64,98,1
4139,31,351,14753,520,1,1,37,65,444,7
699,0,18,587,496,0,1,9,78,539,2
0,0,0,0,0,0,1,0,0,0,0
1300,21,247,3177,841,0,1,21,124,239,41
39,1,80,248,149,0,1,0,19,11,0
0,0,0,0,0,0,1,0,0,0,0
3387,13,442,4123,626,0,1,2,107,483,74
700,2,595,1899,517,7,1,641,368,658,242
1415,64,1627,5939,1833,73,1,327,1406,1576,80
391,38,376,3897,752,1,1,8,23,1693,85
6115,3,707,7965,2666,0,1,21,539,658,7
6351,290,1057,16707,1488,0,1,261,200,447,33
3791,280,286,3665,1009,2,1,31,15,73,1
2197,8,1390,8413,2081,0,1,37,344,610,21
2939,8,124,2387,714,0,1,8,24,243,2
1725,87,928,4248,2361,1,1,45,976,913,27
650,0,124,1199,976,0,1,16,65,75,15
0,0,0,0,0,0,1,0,0,0,0
944,1,299,2432,533,0,1,4,35,241,0
602,0,904,3220,2723,2,1,34,94,72,16
177,59,640,5482,512,0,1,12,37,1527,5
591,146,2186,6760,1291,1,1,302,107,48,27
3176,22,165,3978,1707,1,1,55,98,668,163
1225,27,373,3064,470,0,1,478,74,146,434
1474,5,409,3417,1534,0,1,159,491,827,53
17131,6,276,6526,4110,1,1,15,120,417,8
446,12,69,270,189,0,1,1,7,340,2
348,36,35,1296,349,0,1,3,2,162,3
2042,67,996,8579,1783,4,1,594,808,1552,158
1658,23,658,2291,480,6,1,93,78,215,42
632,6,706,1805,333,2,1,6,106,86,6
495,7,135,1106,803,0,1,0,105,68,2
361,5,65,602,100,1,1,8,13,85,181
278,3,137,1912,1058,0,1,58,5,271,9
0,0,0,0,0,0,1,0,0,0,0
2948,77,3677,16012,938,8,1,475,230,655,149
710,67,723,5335,396,0,1,330,93,29,734
881,23,2114,5322,511,1,1,26,168,119,42
622,6,148,888,789,1,1,3,76,54,3
9,0,16,158,15,0,0,1,0,5,0
39,0,37,294,13,0,0,0,2,120,2
2396,1,265,1690,977,4,0,33,52,35,6
993,5,144,1059,171,1,0,38,17,318,0
263,26,196,2233,1111,0,0,171,113,131,39
103,0,0,2,21,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
16,1,12,32,6,0,0,18,0,79,0
3,3,5,158,10,0,0,2,0,1,0
5,2,3,241,16,0,0,10,0,54,0
782,10,239,2142,159,0,0,15,13,67,0
209,0,47,323,223,0,0,3,4,28,0
5,0,0,9,8,0,0,0,0,22,0
178,14,51,86,82,0,0,6,15,183,1
0,0,0,0,0,0,0,0,0,0,0
14023,143,690,17978,1313,0,0,42,28,279,8
4482,15,442,3263,848,0,0,103,61,508,77
1888,21,190,1654,748,3,0,56,19,717,8
77,0,1,141,17,0,0,4,0,222,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0
160,50,662,32227,114,0,0,1068,9,45,55
0,0,0,0,0,0,0,0,0,0,0
5651,2,255,6679,615,0,0,20,16,199,5
250,1,25,1117,95,0,0,3,6,522,2
1,0,0,10,3,0,0,0,0,15,0
168,10,33,992,139,2,0,6,3,135,0
1679,13,67,2322,623,2,0,16,79,78,4
36,1,14,57,6,0,0,0,0,28,0
110,7,263,113,191,0,1,4,43,27,3
60,0,76,360,131,0,1,179,70,10,65
13176,11,227,13482,2407,1,1,157,70,1046,16
858,1,511,2007,1190,1,1,232,382,174,99
15701,4,597,17062,1270,3,1,43,28,190,4
361,206,1302,7002,174,6,1,82,39,100,53
6123,5,116,5619,536,0,1,10,10,667,1
0,0,0,0,0,0,1,0,0,0,0
1414,16,167,1578,332,1,1,7,27,39,5
1042,0,143,944,112,0,1,3,9,81,0
1485,12,235,8830,588,0,1,623,86,75,158
1671,29,145,1734,215,0,1,30,3,156,3
986,0,663,3412,626,0,1,19,56,179,28
105,4,189,3345,64,0,1,15,27,25,7
70,24,122,1906,217,1,1,16,8,72,1
394,1,77,77,65,0,1,89,10,9,35
299,0,21,284,71,0,1,7,26,10,0
266,2,1882,1734,601,1,1,124,65,311,316
640,0,963,3213,562,0,1,32,180,1503,65
801,71,3372,10239,493,0,1,82,103,259,123
612,1,402,1043,223,0,1,0,65,107,9
199,1,324,842,333,1,1,18,86,31,18
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
959,4,2363,12540,682,0,1,90,310,294,2
920,0,1092,1193,581,0,1,31,191,222,6
0,0,0,0,0,0,1,0,0,0,0
104,71,87,1435,390,0,1,10,4,38,1
156,1,35,2683,57,0,1,4593,36,201,72
420,172,423,13325,143,2,1,271,100,980,960
2473,4,346,2867,663,1,1,59,129,66,3
0,0,0,0,0,0,1,0,0,0,0
678,17,571,13700,290,2,1,46,65,930,21
60,2,5,105,86,0,1,0,0,5,0
4750,164,2761,7198,3635,29,1,386,925,249,180
540,4,409,3431,156,0,1,69,30,35,16
2560,0,234,1766,679,0,1,17,37,135,9
480,2,230,2588,483,0,1,6,15,23,0
0,0,0,0,0,0,1,0,0,0,0
213,47,115,497,341,28,1,648,164,492,281
201,6,93,951,185,0,1,67,2,71,10
963,6,779,2291,533,0,1,102,547,36,209
428,4,1179,4492,388,1,1,164,174,137,70
4523,5,329,10113,548,3,1,30,28,241,3
1643,18,340,10768,361,1,1,24,8,158,3
560,4,930,12806,977,0,1,48,586,60,98
3013,5,174,5286,1193,0,1,39,53,380,6
1676,0,549,906,815,1,1,41,407,267,23
0,0,2,0,0,0,1,0,0,0,0
951,652,3272,22998,894,0,1,1728,183,224,115
495,1,300,443,520,0,1,2,77,58,4
2460,347,1826,10740,825,1,1,57,238,977,46
399,0,169,546,41,0,1,4,12,22,2
13162,49,4185,26530,2336,0,1,31,297,349,1
410,0,32,932,47,0,1,5,1,36,0
1404,11,3064,6779,617,0,1,16,63,157,6
364,1,285,395,110,0,1,10,115,154,0
0,0,0,0,0,0,1,0,0,0,0
886,0,166,1915,366,0,1,1,6,114,0
549,7,2103,2019,524,0,1,33,625,152,84
611,187,1019,3234,240,0,1,288,154,53,90
976,56,866,2634,357,0,1,1239,270,690,1202
636,1,101,929,431,0,1,0,5,89,0
206,0,780,209,272,1,1,58,56,33,56
1029,1,555,33144,2053,0,1,89,12,87,33
59,1,3,39,16,0,1,1,1,17,0
2233,27,2336,5346,1220,0,1,2,96,153,3
64,3,46,254,443,1,1,40,67,153,20
1096,4,1090,5101,586,2,1,69,11,241,26
201,0,15,197,52,0,1,6,15,14,0
1628,13,202,1047,1014,1,1,85,44,275,30
178,0,968,5927,252,0,1,3,62,51,2
20,69,11,1308,45,0,1,19,7,6,0
72,4,70,1576,70,0,1,48,18,108,9
39,4,36,1196,10,0,1,0,0,120,1
84,0,274,1047,329,0,1,0,3,4,0
4630,6,802,6723,783,0,1,11,49,376,2
861,41,628,5413,420,0,1,237,59,566,35
214,0,335,821,548,0,1,80,96,149,21
2470,4,222,4175,1047,0,1,31,73,120,6
1670,1,199,2037,1239,0,1,26,58,199,0
1523,3,165,4305,491,0,1,3,20,24,0
177,34,199,1006,290,0,1,12,64,105,17
14,0,0,20,21,0,0,0,5,0,0
124,44,141,897,345,0,0,33,4,209,4
29,2,54,215,10,1,0,0,0,1,0
714,31,150,1404,98,0,0,11,7,109,23
22,0,11,233,51,0,0,58,5,45,33
17,0,11,34,15,0,0,0,7,4,1
113,0,370,278,7,0,0,0,16,128,1
529,10,171,976,849,0,0,61,163,135,13
196,1,200,1634,404,0,0,1,12,147,0
570,0,891,1959,393,0,0,54,89,189,9
28,9,21,886,15,0,0,1,1,15,0
2,0,0,0,8,0,0,0,0,4,0
385,7,2,98,241,0,0,0,7,59,0
3015,3,122,4066,591,0,0,46,13,516,22
45,4,75,1570,49,0,0,6,10,19,3
677,19,447,1587,121,5,0,26,30,1608,1
48,6,14,256,99,0,0,0,34,63,0
503,1,70,911,593,0,0,32,54,89,0
2,0,12,173,5,0,0,0,7,36,0
0,0,0,0,0,0,0,0,0,0,0
135,6,35,601,182,0,0,1,3,46,15
248,5,88,700,199,0,0,4,7,131,0
265,1,67,213,516,0,0,32,38,66,2
8,0,1,18,4,0,0,0,0,5,0
83,0,12,345,7,0,0,0,17,173,0
121,5,43,374,429,0,0,21,46,41,1
126,15,166,22533,436,0,0,59,24,67,1
679,0,1202,521,53,0,0,0,5,28,0
343,758,1604,16722,1346,4,0,1779,336,513,419
1064,6,170,2464,806,0,0,8,105,301,2
112,0,60,454,215,0,0,19,19,80,1
34,0,35,163,49,0,0,0,12,68,1
658,10,473,1875,363,0,0,3,32,125,8
462,1,65,690,236,0,0,26,26,2183,1
142,1,86,624,2045,0,0,5,17,87,2
50,7,168,1388,34,1,0,3,4,0,3
173,0,49,509,33,0,0,0,4,144,0
36,1,15,391,74,0,0,16,2,54,3
13,4,36,456,25,0,0,3,0,121,0
605,17,314,1366,600,3,0,55,127,182,3
1,0,0,8,3,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0
370,1,199,1648,122,0,0,16,14,110,1
784,2,54,883,190,0,0,21,13,293,0
7,0,11,897,30,0,0,0,1,30,0
129,4,79,354,135,5,0,44,23,112,4
121,0,525,6280,91,0,0,228,21,235,116
35,0,79,500,58,0,0,3,1,3,0
88,0,110,1196,186,0,0,56,23,24,0
2,0,0,7,5,0,0,0,0,24,0
13,0,6,715,110,0,0,1,0,10,0
18,0,4,602,10,0,0,0,0,4,0
37,3,19,899,117,1,0,85,66,131,2
108,0,3,1,10,0,0,0,0,48,0
23,0,10,30,10,0,0,0,0,0,0
95,0,118,540,89,0,0,31,60,33,40
24,0,21,252,42,0,0,0,0,16,0
878,22,1321,13870,493,0,0,109,415,300,31
90,4,267,1004,706,0,0,3,35,55,0
74,0,73,773,25,0,0,24,84,54,12
551,0,28,226,317,0,0,3,5,55,0
629,32,415,2099,502,2,0,19,21,13,8
203,35,117,2119,98,0,0,16,5,193,1
1072,2,1448,59176,2659,0,0,42,402,437,1
1182,0,174,786,436,0,0,10,29,471,6
567,2,34,512,302,0,0,2,29,125,1
58,14,212,1330,27,0,0,4,4,16,1
403,19,48,785,594,0,0,11,60,323,0
200,7,81,2024,95,0,0,2,11,5,0
58,64,90,726,8,0,0,2,12,100,0
357,139,209,1632,204,4,0,14,56,11,6
201,11,596,3133,406,0,0,64,101,107,7
1,0,3,2,4,0,0,0,0,0,0
403,1,22,1020,275,0,0,36,49,451,6
3,10,0,73,12,0,0,0,0,23,0
463,2,58,884,306,1,0,111,61,197,16
350,5,74,697,107,0,0,10,7,369,2
13,0,39,94,2,0,0,0,0,11,0
311,0,45,205,150,0,0,20,8,234,0
9,0,4,2,29,0,0,0,5,6,0
525,15,340,1196,581,0,0,2,74,104,1
630,7,137,2492,277,0,0,24,7,156,4
1730,10,288,1525,682,0,0,206,37,242,14
71,2,80,1137,40,0,0,0,5,155,0
15,4,15,1047,31,0,0,1,0,51,0
380,39,304,2353,415,4,0,104,69,268,29
0,0,0,0,0,0,0,0,0,0,0
253,25,182,2045,369,0,0,5,5,8,0
445,3,1546,1334,269,0,1,0,41,30,9
1040,1,319,1620,420,0,1,40,32,16,7
589,2,437,617,324,5,1,0,37,97,1
767,4,151,3522,232,0,1,1,35,27,3
582,9,204,849,600,0,1,85,173,141,1
0,0,0,0,0,0,0,0,0,0,0
668,2,232,591,541,0,0,2,59,54,0
34,0,12,84,39,0,0,0,2,97,0
1250,37,2167,8237,594,11,0,173,131,726,83
135,3,67,935,364,0,0,23,4,12,5
155,13,223,1731,210,0,0,4,130,192,0
4,0,18,310,17,0,0,0,1,1,0
1467,0,64,1196,167,0,1,2,2,114,1
545,1,69,323,519,0,1,0,28,41,2
1357,24,1242,5623,1352,0,1,76,338,338,6
481,0,87,1682,295,0,1,2,25,103,20
1427,170,557,3943,382,15,1,15,93,636,68
269,0,3567,343,1378,1,1,165,193,62,18
645,28,163,455,548,2,1,23,30,120,25
1687,727,8951,16376,3291,2,1,3310,274,152,652
4143,23,2020,9636,3359,3,1,214,389,167,121
2072,10,2396,6876,714,2,1,170,922,342,172
804,31,480,3266,420,0,1,77,17,146,21
659,78,1587,3097,744,0,1,13,212,84,5
242,58,152,1811,30,1,1,15,27,60,4
199,0,34,335,217,0,1,1,29,35,2
3029,0,79,2814,384,0,1,9,21,41,0
1489,17,183,2416,739,0,1,2,33,38,0
607,4,58,222,202,0,1,1,15,115,3
421,3,61,675,350,0,1,10,46,114,0
661,15,64,578,257,0,1,23,55,300,4
818,8,291,1658,2341,0,1,13,36,89,5
846,9,27,1306,184,0,1,11,12,125,0
1452,2,484,3415,717,0,1,50,217,185,25
386,17,1462,1406,1059,0,1,9,231,107,15
129,0,57,355,1080,0,1,1,13,21,0
531,0,371,2781,972,0,1,20,296,250,6
31,0,0,8,25,0,1,0,5,11,0
1752,72,3259,15661,5726,2,1,496,248,320,122
319,0,1059,7062,1056,0,1,15,118,80,0
355,2,9,310,213,0,1,17,13,13,1
448,0,142,827,318,0,1,0,15,32,0
1484,5,90,651,706,0,1,17,12,157,4
671,26,178,1410,1386,0,1,330,201,398,35
1138,1313,109,1748,895,0,1,17,229,184,10
438,2,351,438,148,0,1,5,28,202,3
13,2144,0,72,9,0,1,1,0,7,0
199,2,1028,7187,479,0,1,322,188,261,34
985,71,1243,8095,639,6,1,1103,159,2618,52
0,0,0,0,0,0,1,0,0,0,0
833,39,578,2343,625,0,1,7,300,293,32
262,0,21,498,74,0,1,1,1,15,0
346,6,606,4056,316,0,1,49,223,34,19
275,5,156,514,429,0,1,17,21,61,14
251,9,138,426,241,0,1,26,63,96,3
924,5,627,1508,204,0,1,7,62,228,3
174,1,1624,2437,91,1,1,61,29,48,46
306,36,274,24352,1497,0,1,588,189,409,7
1519,8,3170,3340,1152,1,1,15,32,178,6
543,9,838,3275,578,13,1,53,227,165,62
1198,8,581,1677,1495,3,1,73,70,466,33
143,0,311,802,108,2,1,56,27,92,21
