username,date_of_election,isSuccessful,votes,edit_count,year_joined
Wandalstouring,2015-11-30 20:51:08.921566,0,0,14383,2006
wavelab1,2015-11-30 20:51:08.924278,0,0,5,2007
Wisdom89,2015-11-30 20:51:08.945555,0,0,31599,2004
Aecis,2015-11-30 20:51:08.963704,1,0,36712,2004
Aude,2015-11-30 20:51:09.012940,1,0,39568,2004
CBDunkerson,2015-11-30 20:51:09.079930,1,0,14940,2003
Consumed Crustacean,2015-11-30 20:51:09.107858,1,0,9294,-
Dsmdgold,2015-11-30 20:51:09.167875,1,0,11868,2004
Husnock,2015-11-30 20:51:09.286478,1,0,12977,2004
JLaTondre,2015-11-30 20:51:09.318714,1,0,43138,2005
Kilo-Lima,2015-11-30 20:51:09.358978,1,0,10579,2005
Peruvianllama,2015-11-30 20:51:09.520513,1,0,13499,2004
Quarl,2015-11-30 20:51:09.561151,1,0,31392,2004
Sarge Baldy,2015-11-30 20:51:09.625729,1,0,2,2008
Sir Nicholas de Mimsy-Porpington,2015-11-30 20:51:09.644616,1,-,-,-
Stifle,2015-11-30 20:51:09.668626,1,0,74546,2005
Viridae,2015-11-30 20:51:09.730321,1,0,13774,2006
WAvegetarian,2015-11-30 20:51:09.738168,1,0,7389,2005
Wwwwolf,2015-11-30 20:51:09.762647,1,0,7005,2004
AMK152,2015-11-30 20:51:09.819787,0,0,25078,2005
Andy5190,2015-11-30 20:51:09.820607,0,0,357,2006
Biruitorul,2006-11-27 19:22:00,0,0,66417,2005
Bottesini,2015-11-30 20:51:09.857561,0,0,4009,2006
Caldorwards4,2015-11-30 20:51:09.863532,0,0,45326,2005
CrnaGora,2015-11-30 20:51:09.908451,0,0,8770,2005
Foxearth,2015-11-30 20:51:09.982034,0,0,1131,2005
Genisock2,2015-11-30 20:51:09.993973,0,0,7165,2006
griffjam,2015-11-30 20:51:10.006115,0,0,71,2006
Hurricanehink,2015-11-30 20:51:10.026213,0,0,49401,2005
Ikiroid,2015-11-30 20:51:10.031175,0,0,6781,2005
Information Center,2015-11-30 20:51:10.038691,0,0,1459,-
Karmafist,2015-11-30 20:51:10.067296,0,0,13920,2004
Martial Law,2015-11-30 20:51:10.108428,0,0,8423,2005
Maxamegalon2000,2015-11-30 20:51:10.120777,0,0,9883,2005
Messedrocker,2015-11-30 20:51:10.135142,0,0,0,2009
Peteg913,2015-11-30 20:51:10.171000,0,0,623,2006
Post Falls Man,2015-11-30 20:51:10.179608,0,0,212,2006
Qrc2006,2015-11-30 20:51:10.186050,0,0,7759,2006
Rmrfstar,2015-11-30 20:51:10.197982,0,0,1,2012
Robert McClenon,2015-11-30 20:51:10.208969,0,0,17149,2005
Viridae,2015-11-30 20:51:10.331508,0,0,13774,2006
Weirdy,2015-11-30 20:51:10.334289,0,0,3549,2005
Werdna,2015-11-30 20:51:10.334599,0,0,6635,2005
Zpb52,2015-11-30 20:51:10.359029,0,0,12036,2005
Allen3,2015-11-30 20:51:10.379936,1,0,58762,2005
Alteripse,2015-11-30 20:51:10.380405,1,0,8276,2004
Arcadian,2015-11-30 20:51:10.386293,1,0,163045,2004
Asbestos,2015-11-30 20:51:10.386914,1,0,5333,2004
Ausir,2015-11-30 20:51:10.387628,1,0,8010,2004
Beland,2015-11-30 20:51:10.397023,1,0,57107,2004
Bhadani,2015-11-30 20:51:10.398369,1,0,203437,2005
Bishonen,2015-11-30 20:51:10.401807,1,0,40119,2004
Bluemoose,2015-11-30 20:51:10.401829,1,0,29151,2005
Bmicomp,2015-11-30 20:51:10.402381,1,0,7163,2005
BrokenSegue,2015-11-30 20:51:10.415483,1,0,12306,2004
Burgundavia,2015-11-30 20:51:10.420065,1,0,8693,2004
Cacycle,2015-11-30 20:51:10.420759,1,0,21799,2004
Carbonite,2015-11-30 20:51:10.426438,1,0,4550,2005
